DAY_ID,ACCOUNT_DIM_ID,DAILY_BALANCE_AMT,EFF_DT,END_DT
2023-03-18,13541,6332.03,2016-10-23,
2023-08-08,99644,940.1,2021-12-22,
2023-11-06,96121,8805.61,2017-06-06,
2023-07-29,20726,4941.94,2017-12-03,
2023-09-19,93103,4430.38,2016-03-27,
2023-03-22,76595,7938.29,2021-04-10,
2023-02-20,87549,9203.46,2017-07-15,
2023-07-02,52889,2083.35,2016-11-13,
2023-04-09,37199,9600.87,2015-01-03,
2023-03-18,73887,6990.95,2015-06-20,
2023-06-21,91613,9549.72,2015-07-16,
2023-09-20,57649,3544.31,2020-09-30,2023-11-28
2023-04-10,28855,2124.17,2020-01-25,2023-02-22
2023-10-09,488,5577.39,2015-01-18,
2023-10-17,7628,4836.4,2021-06-06,
2023-10-11,52815,4521.62,2016-02-10,
2023-03-23,38705,7791.65,2015-06-07,
2023-12-22,42865,1814.44,2015-03-22,
2023-08-22,4053,6234.38,2020-12-05,
2023-05-03,52580,5084.94,2019-05-18,
2023-03-13,59490,754.94,2022-11-05,
2023-05-08,70789,423.31,2021-05-24,
2023-09-06,74327,3567.31,2020-07-13,
2023-01-27,37400,7521.91,2015-06-19,
2023-06-20,22022,1595.68,2022-04-21,
2023-11-06,17850,8562.44,2021-06-08,
2023-12-13,26547,8834.55,2022-07-26,
2023-10-16,24618,158.41,2015-02-02,
2023-08-06,75146,6872.55,2022-11-05,
2023-03-31,88869,4318.17,2015-04-09,2023-07-27
2023-11-30,31075,2203.67,2020-05-28,2023-11-18
2023-08-30,87362,2955.04,2016-01-25,
2023-02-17,90605,1961.53,2019-10-31,
2023-06-12,38282,5733.51,2018-05-30,
2023-07-27,77934,7836.18,2021-02-08,
2023-12-10,75119,7957.86,2020-03-15,
2023-11-24,31267,4581.73,2020-02-12,
2023-12-16,59939,2218.42,2021-11-23,2023-01-07
2023-04-30,19667,8499.19,2021-03-04,
2023-03-03,1504,780.05,2018-08-25,
2023-08-22,1680,7238.43,2021-10-11,
2023-07-02,44383,4031.65,2019-06-20,
2023-12-11,60397,3118.77,2017-02-16,
2023-01-15,20296,6061.3,2022-01-28,
2023-02-22,36794,6388.99,2017-03-18,
2023-09-12,36271,5606.28,2016-05-24,
2023-11-30,19917,5685.04,2018-07-31,
2023-08-08,71600,9013.8,2017-01-02,
2023-09-08,86824,5005.39,2019-07-24,
2023-08-02,25912,1019.32,2015-09-30,
2023-08-06,17686,3730.43,2022-01-24,
2023-02-23,10203,7629.86,2016-09-08,
2023-06-05,70710,9897.8,2022-10-06,
2023-07-17,58043,6815.87,2019-12-09,
2023-01-22,14088,8209.57,2019-07-31,
2023-12-21,64682,6286.4,2022-11-15,
2023-08-12,57138,1079.46,2021-04-20,
2023-11-01,80821,9253.79,2021-11-14,
2023-07-25,23061,890.15,2018-05-12,
2023-10-23,87065,8275.1,2020-09-08,
2023-06-06,55818,8610.73,2015-08-10,2023-02-01
2023-06-05,76263,5039.28,2017-09-28,
2023-01-08,35360,2159.45,2022-11-08,
2023-09-02,91376,8070.38,2017-02-18,
2023-11-23,54488,7325.31,2018-10-09,
2023-04-08,37441,3084.66,2020-12-26,
2023-11-20,54664,754.23,2022-07-29,
2023-12-23,23420,5718.74,2022-03-30,
2023-06-29,42006,387.63,2017-12-22,
2023-03-13,39841,7507.87,2022-04-17,
2023-03-08,74060,3839.99,2017-06-05,
2023-01-18,36377,2537.8,2018-05-12,
2023-07-26,98827,801.04,2021-08-09,
2023-01-02,94008,5134.28,2021-06-02,
2023-03-02,64087,9346.56,2021-07-09,
2023-04-22,2820,7072.98,2017-11-13,
2023-08-03,75531,1216.2,2021-05-10,
2023-11-28,97576,272.35,2017-06-29,
2023-12-09,63351,3054.23,2019-11-12,
2023-05-04,67384,4207.62,2015-11-18,2023-11-24
2023-01-23,30041,2915.71,2016-11-25,
2023-03-31,96001,5342.07,2018-09-16,
2023-09-11,95325,2481.43,2021-11-27,
2023-02-11,66850,776.61,2016-11-02,
2023-12-04,90021,7718.15,2020-10-26,
2023-08-07,38712,5928.46,2018-05-08,
2023-09-10,33664,8253.67,2015-11-22,
2023-03-08,62297,6981.45,2019-11-11,
2023-02-23,25174,6007.08,2021-12-20,2023-02-13
2023-02-02,78715,2880.58,2020-10-08,
2023-01-17,1875,1464.23,2015-06-21,
2023-11-15,1283,7683.81,2015-09-16,
2023-03-28,16811,5990.57,2017-07-10,2023-05-17
2023-12-05,82043,5366.66,2022-04-07,
2023-09-16,51082,2831.19,2022-08-02,
2023-03-01,34477,4259.17,2017-07-13,
2023-01-17,39435,6412.75,2018-08-10,
2023-11-08,81084,4012.19,2021-02-06,
2023-02-18,26566,8309.99,2020-01-03,2023-03-13
2023-08-18,3515,4231.52,2017-01-21,
2023-01-27,85555,4663.14,2021-01-28,
2023-03-16,26707,9687.75,2018-12-25,
2023-11-17,43380,4796.14,2021-07-27,
2023-01-16,89424,2368.49,2016-06-01,
2023-05-31,28971,6095.18,2022-07-08,
2023-07-29,38162,5274.79,2016-06-03,
2023-07-18,92511,3200.76,2016-10-30,
2023-07-16,10156,7175.81,2016-04-12,
2023-12-12,58447,948.59,2015-11-13,
2023-11-11,52124,8074.67,2017-07-24,
2023-03-03,83718,3607.49,2016-03-19,
2023-06-08,25140,7791.46,2022-01-21,
2023-06-09,62573,548.55,2018-12-25,
2023-04-23,4864,5824.35,2022-04-28,
2023-08-19,1329,7347.37,2020-05-18,
2023-12-16,54430,1718.42,2019-03-10,
2023-03-18,67413,7545.1,2015-05-11,
2023-06-14,98577,5471.55,2020-11-18,2023-09-24
2023-07-15,33653,4886.21,2015-10-12,
2023-07-18,23441,5820.49,2019-02-25,
2023-07-12,29350,9317.03,2020-05-07,2023-05-31
2023-12-24,25506,4005.11,2017-11-11,2023-01-04
2023-02-18,74579,6839.17,2015-11-23,
2023-07-31,69553,1112.87,2018-02-14,
2023-12-14,93581,901.09,2017-02-05,
2023-12-14,76589,1314.64,2016-07-01,
2023-01-22,72091,2323.21,2021-11-29,
2023-09-08,85400,8474.0,2015-12-21,
2023-06-27,10115,2353.34,2015-09-24,
2023-11-27,14544,2011.08,2021-09-23,
2023-09-17,99002,6139.24,2019-12-05,
2023-12-08,44181,6600.72,2020-07-07,
2023-03-14,20436,7369.75,2018-09-06,
2023-11-01,95021,7365.94,2021-03-31,
2023-07-09,55976,111.82,2016-05-22,2023-10-20
2023-08-21,77618,7529.9,2020-02-17,
2023-04-26,75899,3476.12,2015-07-12,
2023-02-18,68188,5581.55,2015-11-23,
2023-05-12,89304,3052.52,2017-07-08,
2023-04-15,55626,6730.93,2021-12-19,
2023-04-21,88018,3739.61,2018-10-19,
2023-08-11,2996,1565.21,2020-11-01,
2023-06-22,96590,4755.88,2020-09-03,
2023-10-15,21756,1571.12,2015-11-27,
2023-11-12,91636,9846.6,2021-05-29,
2023-11-21,27552,9471.64,2019-11-24,
2023-12-08,35235,2912.46,2020-08-26,
2023-11-26,74497,7205.45,2019-02-11,
2023-11-19,35443,9001.46,2019-02-01,
2023-10-25,13498,8251.16,2020-12-04,
2023-02-20,79597,504.09,2018-03-11,
2023-04-29,48009,8934.86,2019-06-23,
2023-05-30,30739,2159.59,2018-10-15,
2023-04-13,20492,649.56,2022-03-21,
2023-03-25,13815,259.3,2020-07-30,
2023-05-20,75947,5458.35,2022-03-05,
2023-10-04,90352,6278.56,2020-02-04,
2023-02-17,67321,3607.2,2020-04-06,
2023-10-25,93981,9827.34,2016-10-28,
2023-08-24,47330,4680.38,2019-05-04,
2023-06-19,52775,5198.78,2016-02-06,
2023-09-25,86825,5063.21,2021-12-04,
2023-09-26,1323,1376.36,2018-02-28,
2023-11-18,96134,3497.97,2021-10-07,
2023-04-18,65545,5620.11,2020-10-27,
2023-05-15,53034,8427.9,2018-02-20,
2023-08-19,99417,7431.32,2019-06-20,
2023-04-03,34633,4758.41,2016-02-05,
2023-03-10,92237,9677.65,2022-12-09,
2023-11-11,39371,8068.44,2015-02-14,
2023-08-11,97335,8033.72,2018-06-03,
2023-01-12,72264,2364.37,2015-07-12,
2023-05-04,25137,6855.01,2018-12-17,
2023-07-14,53938,5321.1,2019-04-08,
2023-01-06,68865,2369.05,2022-12-09,
2023-10-06,14064,468.93,2020-09-03,2023-04-08
2023-01-16,25870,6360.44,2015-02-20,
2023-12-03,97507,1222.89,2016-08-11,
2023-05-21,6379,5124.37,2021-01-22,
2023-12-02,21385,4378.1,2018-06-04,
2023-08-01,66087,7573.68,2021-05-28,
2023-10-06,17835,8277.7,2018-12-18,
2023-11-18,82915,3507.74,2015-08-04,
2023-07-12,16886,6867.25,2015-07-01,
2023-04-16,50546,3575.68,2015-10-14,
2023-01-13,20041,9128.3,2020-12-29,
2023-07-04,39093,1222.72,2017-04-18,
2023-01-18,73188,2709.22,2016-11-08,
2023-08-08,52253,4919.73,2016-08-16,
2023-04-02,27231,4299.85,2020-02-10,
2023-08-06,19303,7175.03,2018-05-01,
2023-12-05,69959,7255.81,2019-08-18,
2023-05-25,39614,3418.74,2022-02-28,
2023-04-01,65558,1081.04,2016-07-26,
2023-06-08,80434,6503.61,2018-04-06,
2023-03-18,15294,4663.65,2020-02-02,
2023-05-28,18575,1316.66,2016-10-25,2023-07-02
2023-09-22,654,212.29,2021-08-17,
2023-11-06,8490,2923.11,2022-09-22,
2023-11-02,19957,9631.55,2021-10-03,
2023-12-25,66765,6717.02,2020-07-09,
2023-01-26,9928,8243.54,2021-08-20,2023-04-30
2023-03-08,46182,3497.75,2022-02-20,
2023-05-08,83071,5106.63,2017-07-24,
2023-05-12,45698,1346.74,2018-12-01,
2023-04-16,20278,1714.48,2019-12-06,
2023-10-08,28524,5066.33,2017-07-05,
2023-05-26,30374,3684.68,2022-12-07,
2023-02-28,76316,3616.5,2022-09-10,
2023-07-08,92719,3519.31,2022-03-29,
2023-06-09,75745,6377.34,2021-10-11,
2023-07-14,75147,2535.36,2017-07-15,
2023-06-07,16799,3354.02,2017-06-11,
2023-01-07,1163,1285.29,2015-02-23,
2023-06-27,20565,9472.93,2018-07-05,
2023-10-09,76423,4749.29,2021-06-21,
2023-10-08,16327,7192.3,2018-06-25,2023-07-07
2023-07-16,87976,5586.63,2016-03-29,
2023-10-05,25607,2807.16,2018-09-05,
2023-06-05,21481,847.67,2020-04-27,2023-06-24
2023-09-09,79289,1470.54,2021-06-14,
2023-03-16,60194,8817.28,2019-12-16,
2023-07-18,24813,4322.91,2021-03-19,2023-03-18
2023-12-02,23913,7048.29,2020-03-04,
2023-05-14,66212,5350.63,2019-06-20,
2023-12-29,48136,2181.04,2019-08-13,
2023-01-14,578,569.48,2020-08-30,
2023-08-12,13536,1996.86,2017-07-27,
2023-08-12,50590,8663.02,2020-05-28,
2023-11-12,55387,8561.28,2021-10-16,
2023-06-10,91764,9404.34,2020-03-25,
2023-05-08,94016,8486.87,2021-01-20,
2023-04-24,66967,9250.06,2021-03-15,
2023-03-10,98399,6251.72,2022-12-16,
2023-02-07,71634,3291.37,2021-06-03,
2023-12-08,31940,4992.92,2022-10-16,
2023-08-12,15525,3721.62,2020-02-03,2023-09-20
2023-10-07,91975,3071.32,2015-04-26,
2023-03-31,48485,8494.25,2016-12-25,
2023-08-19,58352,8343.21,2015-06-18,
2023-10-21,25696,1086.38,2021-11-04,
2023-06-16,41595,6580.54,2015-07-01,
2023-04-20,40787,2545.52,2021-10-11,
2023-01-04,36485,8386.04,2015-10-06,
2023-04-24,7190,2260.3,2018-05-21,
2023-05-19,37160,5077.44,2022-01-19,
2023-02-26,59551,7952.44,2018-07-20,
2023-11-13,68433,420.7,2022-03-30,2023-11-29
2023-06-25,27516,8161.33,2016-12-01,
2023-09-19,48879,2557.62,2020-10-15,2023-09-11
2023-01-07,13839,246.06,2018-01-23,
2023-04-05,80485,3709.49,2020-03-19,
2023-12-17,83381,804.62,2019-06-08,
2023-07-05,9820,931.88,2019-09-12,
2023-11-10,39678,7444.99,2016-04-03,
2023-10-30,39488,2464.98,2016-07-21,
2023-08-08,63628,5842.27,2017-09-23,
2023-05-27,69932,5197.17,2018-07-08,
2023-10-17,6577,6501.09,2015-09-21,2023-09-13
2023-08-29,24515,5126.81,2020-11-26,
2023-01-26,27979,3692.96,2020-10-31,
2023-08-24,82184,5664.1,2015-03-29,
2023-05-23,61936,5220.52,2020-06-15,
2023-06-08,88399,937.26,2020-11-18,
2023-04-24,86619,5035.14,2015-01-05,
2023-11-10,67441,7272.48,2015-03-26,
2023-10-04,81431,1256.19,2015-04-29,
2023-04-25,42019,2504.75,2015-08-29,
2023-03-31,24363,2679.18,2019-08-13,
2023-12-11,78627,7925.16,2019-05-05,2023-01-27
2023-03-26,47931,3837.01,2020-11-05,
2023-08-14,75643,384.32,2017-04-14,
2023-09-27,4911,7718.0,2022-04-10,
2023-06-04,82061,2458.1,2022-04-08,
2023-09-25,61130,6295.32,2016-07-31,
2023-03-04,3212,107.88,2021-05-05,2023-12-28
2023-04-18,12137,2572.31,2016-06-26,
2023-11-05,65304,4094.23,2019-04-28,
2023-08-01,19761,723.44,2015-08-02,
2023-07-11,51524,503.64,2017-05-08,2023-11-24
2023-06-06,44669,1255.32,2018-04-06,
2023-08-16,65923,4090.51,2015-04-02,
2023-10-10,71919,2800.03,2018-05-29,
2023-09-26,34137,3925.18,2019-08-13,2023-10-16
2023-09-22,66256,6800.71,2021-09-19,
2023-06-29,5759,5515.05,2017-06-26,
2023-02-27,32140,6631.68,2021-08-14,
2023-10-18,58002,2980.01,2015-04-27,
2023-10-25,52743,6415.95,2016-10-27,
2023-06-25,13393,2691.85,2018-09-26,
2023-03-20,58348,2217.12,2015-08-13,
2023-02-04,23909,1190.53,2021-01-09,
2023-06-27,91653,5139.54,2015-07-06,
2023-09-01,34376,5902.74,2020-12-18,
2023-05-27,84515,1412.06,2015-04-18,
2023-04-28,1967,9026.81,2016-09-23,2023-11-12
2023-07-26,59422,8896.22,2019-12-25,
2023-06-26,34869,2995.06,2020-07-16,
2023-12-03,36429,3768.42,2020-04-04,
2023-04-15,78942,5234.76,2021-03-21,
2023-02-23,33616,4911.01,2021-11-18,
2023-06-21,36962,3883.1,2017-05-11,
2023-06-17,12241,5449.19,2017-08-30,
2023-12-22,16537,723.98,2015-03-18,
2023-05-17,1561,7937.85,2020-03-29,
2023-07-23,28450,6057.73,2019-10-27,
2023-06-23,95553,9784.09,2017-04-08,
2023-04-14,34176,4000.22,2020-10-28,
2023-01-11,65793,122.26,2019-06-10,
2023-12-02,81595,2085.12,2020-06-23,
2023-03-07,17981,7836.12,2015-10-12,
2023-05-16,86175,8909.86,2021-07-05,
2023-11-26,83343,1966.52,2020-08-05,
2023-04-27,35051,2511.51,2022-11-01,
2023-12-31,32647,8717.74,2022-02-23,
2023-09-03,12323,7096.02,2022-09-05,
2023-02-27,58783,386.92,2019-02-23,
2023-08-31,86251,6262.37,2019-04-01,
2023-04-08,51436,7987.18,2020-08-21,
2023-03-11,50744,127.57,2021-11-28,
2023-04-14,89217,1713.83,2018-11-09,
2023-03-26,9224,6530.77,2015-09-21,
2023-06-10,64912,6334.51,2017-09-09,
2023-04-14,36110,8349.07,2017-10-24,
2023-03-06,36149,8463.29,2015-10-06,
2023-10-07,70896,3750.28,2021-07-09,
2023-08-01,6921,8216.46,2018-08-15,
2023-06-13,41033,1407.17,2017-06-01,
2023-04-07,3960,6721.74,2021-11-08,
2023-06-02,76453,6376.05,2020-12-05,
2023-07-19,96500,995.32,2015-09-29,
2023-09-26,54666,9873.25,2017-01-07,
2023-04-24,73734,5451.51,2021-08-20,
2023-07-25,81561,5675.93,2017-08-13,2023-08-02
2023-09-09,88441,5773.03,2019-08-04,
2023-04-16,82588,4154.45,2018-08-01,
2023-01-05,38867,9222.51,2017-06-03,
2023-02-09,38087,7140.97,2015-04-10,
2023-02-09,73185,5362.4,2021-07-28,
2023-12-31,21952,2453.35,2022-08-04,
2023-12-14,31234,2539.83,2015-04-27,
2023-01-01,19357,9030.61,2020-10-09,
2023-04-11,40557,2867.59,2015-06-06,
2023-07-27,28686,284.36,2016-07-03,
2023-02-18,29866,9545.77,2020-12-16,
2023-12-21,86670,5963.6,2015-10-23,
2023-09-29,82744,686.15,2021-12-01,
2023-12-20,6374,6040.24,2016-02-12,
2023-12-25,69122,7894.18,2015-07-28,
2023-08-23,12407,1555.68,2018-10-01,
2023-10-26,93343,7501.95,2017-01-21,
2023-08-16,48784,362.18,2015-06-03,
2023-08-09,18059,7428.69,2015-10-09,
2023-06-16,66997,5398.51,2016-02-16,
2023-08-16,43073,2349.94,2021-12-05,
2023-11-15,54324,3774.58,2016-01-31,
2023-03-02,62502,9715.79,2015-10-29,2023-02-19
2023-04-02,87975,7349.26,2021-11-08,
2023-07-13,63304,7187.54,2021-02-24,
2023-11-01,4563,1808.96,2019-01-01,2023-12-12
2023-07-29,7635,2054.83,2021-08-15,
2023-10-25,50997,3628.93,2016-09-05,
2023-01-25,67269,7095.75,2020-01-01,
2023-06-16,52831,8319.37,2017-11-06,
2023-11-06,90016,7841.62,2017-10-07,
2023-10-27,41131,2309.74,2019-01-17,
2023-12-27,52201,2963.48,2015-06-28,
2023-02-20,2944,862.02,2022-12-21,
2023-08-15,17418,971.24,2015-07-15,
2023-12-08,97350,8013.89,2019-08-28,
2023-09-17,72734,168.06,2017-06-07,
2023-03-14,53087,9248.82,2022-10-26,
2023-02-04,40079,9958.57,2020-10-29,
2023-10-14,78896,7169.09,2015-01-16,
2023-06-05,20715,7268.11,2021-06-17,
2023-01-05,68322,3517.23,2017-03-30,
2023-01-06,37123,556.95,2019-04-10,
2023-04-09,85704,2342.12,2017-07-27,
2023-07-14,66691,4054.39,2021-08-31,
2023-08-30,73989,2820.16,2022-04-13,
2023-12-10,6400,2285.75,2015-08-16,
2023-02-18,58714,123.12,2022-12-31,
2023-04-09,12217,3912.77,2019-02-17,
2023-02-15,72824,3695.09,2018-01-10,
2023-11-13,94185,6154.41,2015-11-05,
2023-07-13,86147,8503.24,2017-12-28,
2023-10-08,960,3562.59,2019-04-14,
2023-09-21,28389,6586.69,2016-06-25,
2023-09-10,14538,6556.33,2016-05-02,
2023-10-04,23288,6813.0,2019-03-12,
2023-12-07,4644,1211.42,2018-11-12,
2023-11-27,6661,8651.37,2017-04-20,
2023-03-20,99676,4558.39,2021-04-03,2023-10-13
2023-09-11,38850,3838.35,2021-01-30,
2023-04-28,92799,7899.15,2015-11-02,
2023-09-14,32462,9348.44,2016-06-21,2023-06-27
2023-02-18,37711,2903.76,2015-01-03,
2023-01-13,9500,6981.7,2015-03-21,
2023-09-09,73686,619.07,2019-06-03,
2023-09-29,9355,5192.48,2019-06-26,
2023-10-11,91796,4867.58,2020-06-10,
2023-01-19,7977,1574.9,2020-12-20,
2023-08-18,66839,6093.66,2015-03-01,
2023-05-31,69195,742.41,2018-03-02,
2023-01-05,89985,2732.06,2022-01-09,
2023-07-25,71681,8420.01,2020-12-27,2023-12-07
2023-09-14,29367,9279.3,2019-11-09,
2023-10-17,25638,4818.49,2019-08-18,
2023-02-13,88094,9629.88,2021-05-10,
2023-05-23,28402,5192.17,2015-04-09,
2023-11-04,98476,3766.41,2016-04-19,
2023-11-02,88270,7135.74,2021-08-11,
2023-11-19,2937,7036.91,2022-12-25,
2023-04-27,87711,4083.12,2015-11-08,
2023-07-08,28847,890.12,2015-06-09,
2023-03-14,45289,3095.96,2020-05-09,
2023-09-11,53151,380.69,2018-07-19,
2023-02-02,78594,8590.71,2015-06-02,
2023-11-03,60009,1943.91,2015-08-28,2023-08-31
2023-10-02,57619,9506.93,2016-03-09,
2023-12-05,55776,1826.4,2020-09-05,
2023-06-12,99315,7832.49,2018-10-20,
2023-05-09,38636,1784.67,2017-04-21,
2023-08-22,76595,5312.73,2016-05-15,
2023-06-03,45158,9241.43,2018-04-17,
2023-10-03,8378,7088.74,2019-07-12,
2023-07-30,23995,3647.51,2016-05-31,
2023-12-31,16718,3914.34,2022-10-06,
2023-06-28,66431,7839.11,2016-10-03,
2023-01-22,8175,6490.38,2021-04-15,
2023-03-03,4971,9245.78,2015-07-26,
2023-12-25,93059,4872.77,2017-01-29,
2023-05-17,45108,5345.84,2021-12-25,
2023-08-18,70367,3919.84,2015-12-17,
2023-06-11,79283,4778.93,2015-12-16,
2023-07-22,2466,7815.34,2020-04-29,
2023-02-25,74988,9361.29,2017-12-04,
2023-05-07,85122,6690.86,2020-10-09,
2023-12-18,81470,3237.33,2017-02-26,
2023-06-21,75343,2581.37,2019-05-17,
2023-08-03,33202,6348.64,2015-02-03,
2023-01-07,33890,8040.67,2018-04-21,
2023-04-07,33053,6552.07,2019-12-29,
2023-02-26,50191,5807.63,2019-04-16,
2023-07-26,29132,2005.77,2017-02-14,2023-11-20
2023-02-27,69192,174.17,2017-07-03,2023-12-19
2023-11-24,59060,8384.85,2022-03-13,2023-03-14
2023-11-08,65017,2966.8,2020-10-29,
2023-12-12,25445,3343.66,2015-03-14,
2023-08-02,47836,3053.35,2017-03-16,
2023-06-05,4951,9007.27,2019-06-14,
2023-03-15,68120,9914.86,2021-10-24,
2023-08-06,41050,7155.78,2016-06-07,2023-05-01
2023-11-19,17854,1827.05,2016-11-23,2023-02-21
2023-10-26,16195,3526.08,2020-02-13,
2023-04-16,71081,1902.91,2022-02-27,
2023-08-01,24762,1377.22,2020-10-10,
2023-06-01,14763,4417.7,2020-12-11,
