DAY_ID,ACCOUNT_DIM_ID,OVERDRAFT_SPEND_AMT,EFF_DT,END_DT
2023-09-24,75100,830.96,2017-03-12,
2023-08-14,87361,2077.18,2017-02-15,
2023-04-25,36489,1389.05,2022-07-21,
2023-06-21,26104,2953.17,2015-03-05,2023-05-03
2023-10-29,16441,855.31,2016-02-18,2023-04-11
2023-10-06,23717,1441.26,2020-11-12,
2023-01-31,89313,2245.47,2016-04-30,
2023-09-15,72487,2471.41,2021-06-15,
2023-07-29,4835,864.93,2017-03-17,
2023-11-19,29867,2811.63,2016-03-15,2023-04-29
2023-02-28,58892,182.61,2019-04-07,
2023-10-07,64824,414.96,2015-02-18,
2023-11-09,60189,2298.23,2019-02-23,2023-01-31
2023-12-13,76870,2560.55,2020-09-26,
2023-09-02,15684,1072.53,2016-12-13,
2023-03-13,62722,288.4,2015-07-16,
2023-05-02,65248,2456.41,2022-05-30,2023-12-02
2023-05-18,82252,1378.8,2021-03-17,
2023-04-15,79373,2749.9,2019-10-01,
2023-06-24,4636,115.87,2015-03-22,2023-05-22
2023-10-21,62516,257.31,2017-06-21,
2023-01-17,18938,1084.38,2021-07-22,2023-04-26
2023-10-27,43533,470.79,2015-04-23,2023-02-18
2023-10-29,47590,828.7,2018-08-16,
2023-03-04,86585,720.33,2022-03-10,
2023-11-13,5801,2414.67,2017-11-02,
2023-03-30,66724,752.94,2016-10-07,
2023-04-15,91605,866.59,2020-04-03,
2023-07-31,54136,2495.5,2019-04-15,
2023-09-28,23735,2658.96,2019-11-28,
2023-10-01,95860,2641.49,2018-10-25,
2023-12-12,84957,2638.21,2019-05-17,
2023-03-16,59777,2486.12,2018-04-15,
2023-02-05,83196,2725.62,2021-12-27,
2023-10-21,90993,869.24,2015-08-02,
2023-06-13,94872,1928.64,2020-01-21,
2023-09-05,11260,2290.04,2018-08-02,
2023-04-15,70220,1227.69,2015-03-12,
2023-01-14,97180,2790.02,2022-04-03,
2023-07-06,30694,296.88,2018-05-03,2023-02-01
2023-10-14,60754,2009.37,2019-07-15,2023-04-30
2023-06-12,9919,1149.27,2016-08-16,
2023-10-14,93548,1709.2,2020-06-06,
2023-10-26,23224,2222.99,2019-12-13,
2023-03-14,16164,1132.33,2018-02-26,
2023-01-19,64609,1450.9,2019-12-06,
2023-10-15,174,1092.73,2015-05-20,
2023-09-14,32015,635.28,2017-12-16,2023-03-16
2023-03-29,84171,2846.07,2022-12-31,
2023-11-17,44782,2498.44,2020-11-07,
2023-10-30,51338,1763.91,2016-04-20,
2023-07-03,45781,978.72,2019-06-12,
2023-08-05,33110,1862.24,2022-04-11,
2023-12-21,99035,63.9,2022-06-02,2023-10-12
2023-02-16,26677,2352.3,2020-07-30,
2023-12-15,26157,686.75,2022-01-17,
2023-05-30,66147,2516.35,2017-10-10,
2023-09-18,93300,1283.26,2020-07-19,
2023-03-27,85289,1390.47,2022-03-24,
2023-01-03,3808,0.85,2020-10-06,
2023-03-30,73358,1672.32,2019-02-16,
2023-02-19,74217,1027.24,2021-03-15,
2023-03-01,99601,2197.22,2017-03-06,
2023-11-16,61716,370.33,2017-04-07,
2023-02-18,59388,198.68,2019-04-23,
2023-05-04,85228,734.22,2016-04-05,2023-07-09
2023-08-03,85371,782.28,2019-06-30,
2023-12-27,18976,119.32,2021-05-16,
2023-02-26,63832,1905.3,2021-11-08,
2023-12-12,58542,2347.8,2019-07-01,
2023-06-14,10371,1792.38,2020-03-13,
2023-02-12,84041,622.04,2016-05-26,
2023-02-24,18971,516.25,2019-12-30,
2023-01-31,53124,1527.9,2017-09-04,
2023-05-29,93182,2380.89,2020-09-13,
2023-08-10,24244,1654.05,2015-01-21,
2023-08-12,73129,284.64,2019-12-10,
2023-06-22,61010,2291.73,2022-07-09,2023-04-18
2023-10-25,55963,2282.3,2016-02-17,
2023-06-19,76189,1808.64,2017-06-04,
2023-12-23,13033,2367.01,2019-11-29,
2023-02-06,95621,586.18,2019-10-09,
2023-03-09,49884,608.29,2019-12-17,
2023-01-27,59989,811.67,2016-06-19,
2023-01-12,56111,978.68,2021-10-06,
2023-04-01,58210,96.16,2020-10-02,
2023-12-23,28884,2162.63,2020-12-12,
2023-12-15,32099,2630.42,2017-03-16,
2023-03-21,49381,1624.53,2021-01-13,
2023-10-30,62207,1120.48,2017-07-28,
2023-02-25,12625,2352.09,2018-10-19,
2023-07-27,65997,2735.54,2018-05-31,
2023-11-07,31732,1241.02,2022-10-28,
2023-10-27,5721,1734.09,2015-06-13,
2023-05-06,13144,512.84,2022-12-31,
2023-05-28,21487,1542.23,2022-12-06,
2023-04-30,76260,1671.2,2021-08-05,
2023-07-13,4224,1635.97,2020-10-31,2023-11-20
2023-06-12,48987,1499.21,2019-03-26,
2023-05-20,179,918.43,2022-01-08,
2023-08-29,35653,2683.8,2021-08-01,
2023-04-25,24210,2880.66,2019-10-26,
2023-03-09,56224,1188.14,2018-12-27,
2023-11-24,56947,1424.39,2016-03-25,
2023-11-30,56535,1729.93,2016-02-17,2023-05-27
2023-10-04,24586,1756.82,2022-10-22,
2023-10-26,43276,1206.92,2021-12-15,
2023-03-18,616,140.54,2021-01-24,
2023-03-23,9804,1787.95,2015-04-10,
2023-02-14,35602,2822.39,2018-03-29,2023-03-21
2023-03-19,30335,2025.62,2017-02-22,
2023-03-10,67495,1119.27,2015-02-15,
2023-08-13,97820,44.21,2017-01-24,
2023-07-15,25003,2612.64,2016-03-07,
2023-08-15,74971,2325.48,2021-08-09,
2023-08-27,65845,1226.54,2021-11-09,
2023-06-06,29813,2318.04,2016-10-27,
2023-03-27,10819,411.43,2020-12-29,
2023-12-17,56872,81.34,2017-01-14,
2023-10-03,33374,1374.69,2018-11-24,
2023-08-07,57293,1272.8,2015-11-01,
2023-05-27,89410,2.58,2021-04-12,
2023-05-29,5767,2292.67,2017-04-03,
2023-04-13,60554,2854.12,2019-09-22,2023-03-30
2023-08-19,25971,999.24,2017-03-07,2023-03-15
2023-12-09,49907,1244.16,2018-07-22,
2023-04-03,52814,2647.0,2020-05-21,
2023-04-14,90709,1975.0,2022-11-01,
2023-09-25,85378,1570.63,2019-12-11,
2023-07-14,34529,2989.05,2019-03-03,
2023-09-21,54473,814.65,2022-07-10,
2023-07-05,21430,2914.88,2021-01-01,
2023-07-13,29021,2220.97,2020-08-10,
2023-04-29,80179,1007.26,2015-12-08,
2023-04-24,48227,2424.38,2019-04-21,
2023-11-20,54946,1430.95,2017-09-03,
2023-02-11,41287,1769.39,2017-08-08,
2023-02-08,41218,1837.35,2022-07-15,
2023-03-27,91226,2732.67,2018-07-25,
2023-12-24,15034,1447.14,2015-08-20,
2023-10-02,55820,2610.76,2015-03-24,
2023-02-25,37321,2131.45,2022-01-28,
2023-05-21,41128,315.2,2016-03-21,
2023-11-14,91180,2483.29,2018-07-07,
2023-04-11,65346,323.91,2017-08-16,2023-10-10
2023-05-23,6548,2354.15,2015-02-08,
2023-10-06,66962,1686.27,2016-12-03,
2023-03-11,99102,1532.86,2022-02-16,
2023-08-08,580,689.36,2021-05-28,
2023-02-05,75799,1771.91,2018-04-13,
2023-06-08,14840,708.67,2021-07-23,
2023-01-22,76693,2528.59,2020-03-15,
2023-10-18,70483,2942.09,2016-05-07,2023-08-12
2023-04-03,31737,1285.04,2016-01-15,
2023-06-07,28035,603.54,2018-04-19,
2023-01-07,31191,2900.05,2016-04-07,
2023-05-22,46369,2311.55,2018-07-03,
2023-04-20,17499,1254.02,2020-06-21,
2023-06-15,2399,1041.36,2019-10-20,
2023-08-26,47680,1255.79,2018-08-22,
2023-03-06,328,5.1,2020-07-23,2023-08-07
2023-03-17,81388,1718.33,2015-06-30,
2023-01-13,40979,2032.59,2016-01-27,
2023-10-24,46579,2142.43,2017-05-12,
2023-06-15,4078,1450.85,2022-06-07,
2023-12-16,36332,321.57,2018-12-23,
2023-04-26,79717,1729.14,2022-10-20,
2023-10-18,30265,114.4,2015-08-07,
2023-12-21,79994,1775.64,2019-05-09,
2023-09-22,45942,1611.89,2015-06-05,
2023-02-15,24249,1055.36,2017-12-01,
2023-08-13,50806,1894.52,2016-12-28,
2023-06-15,24961,2442.62,2018-05-10,
2023-08-10,16996,806.82,2017-10-01,
2023-03-19,86485,1334.08,2020-05-24,
2023-04-20,99948,258.04,2020-03-24,
2023-01-28,18604,1146.25,2018-01-26,
2023-12-21,8454,658.02,2021-08-21,
2023-11-16,96621,2781.81,2018-05-17,
2023-05-07,77547,2489.37,2017-10-09,
2023-05-30,77924,2155.76,2020-04-14,
2023-05-15,70203,1288.53,2016-07-31,
2023-09-14,23227,158.82,2021-04-25,
2023-06-17,93191,1099.34,2018-10-27,2023-12-02
2023-07-23,22170,1736.02,2015-08-30,
2023-01-21,60390,1821.39,2021-04-28,
2023-03-29,40113,362.85,2020-08-02,
2023-11-17,55966,1486.12,2015-12-13,
2023-01-08,87394,2129.74,2019-01-29,
2023-10-12,52077,1054.34,2018-11-02,
2023-01-16,92154,503.58,2018-05-14,
2023-12-09,95629,2716.91,2022-02-12,
2023-09-01,38989,2183.22,2020-11-01,
2023-02-02,61190,2569.35,2016-12-07,
2023-08-02,23534,1469.34,2022-04-24,
2023-02-01,2763,14.42,2020-08-22,
2023-06-18,77803,1337.91,2017-11-27,
2023-02-14,78542,836.56,2020-03-08,
2023-03-04,24642,2012.6,2021-03-12,
2023-10-06,39622,2881.83,2016-10-03,
2023-07-11,83109,423.71,2020-06-09,
2023-01-13,27900,737.06,2016-06-20,
2023-07-25,71896,1876.39,2021-10-15,
2023-08-01,23067,485.36,2016-03-28,
2023-06-08,14682,64.24,2016-03-14,
2023-03-04,49509,861.89,2015-12-05,2023-10-09
2023-11-25,61238,2921.12,2022-03-31,
2023-01-25,53025,2464.51,2019-08-18,
2023-12-22,46778,694.75,2020-05-19,
2023-10-18,82996,1988.27,2016-02-01,
2023-06-05,19673,2581.45,2020-05-07,
2023-12-24,9048,160.83,2022-12-24,2023-03-18
2023-10-03,56474,1000.62,2017-10-04,
2023-02-15,8369,1087.4,2015-06-08,
2023-07-13,52089,188.55,2019-10-05,
2023-01-21,43918,2148.5,2017-09-08,
2023-08-01,91260,1311.07,2019-06-17,
2023-07-03,1297,2033.5,2018-03-17,
2023-08-21,67283,2360.01,2016-06-11,2023-10-29
2023-06-16,51194,2904.76,2018-06-17,2023-04-27
2023-05-03,68694,1499.71,2017-09-11,
2023-04-29,19245,735.45,2021-12-16,
2023-12-06,56005,149.26,2017-03-01,
2023-12-30,96131,2437.62,2019-07-12,
2023-04-02,89152,739.83,2018-04-09,
2023-10-15,98959,273.19,2015-10-19,
2023-02-04,6801,631.86,2019-05-15,
2023-10-11,92743,2607.84,2019-11-20,
2023-03-21,35043,48.99,2017-06-03,
2023-10-01,94674,2266.0,2019-09-08,
2023-03-01,40758,2122.76,2018-03-08,2023-10-21
2023-12-06,63589,2917.46,2015-04-09,
2023-04-05,25893,1429.38,2016-01-11,
2023-11-15,34185,2697.16,2017-10-31,
2023-07-04,95846,1353.03,2018-04-20,
2023-03-14,88346,2254.27,2016-03-22,
2023-07-17,18774,1947.04,2016-03-12,
2023-04-25,17808,1666.53,2021-03-28,
2023-01-05,31794,682.86,2020-06-26,
2023-11-13,62602,1278.91,2022-05-09,2023-02-17
2023-02-16,46638,1991.14,2016-05-10,
2023-11-08,81976,937.31,2019-07-30,
2023-09-29,15666,595.53,2020-01-21,
2023-07-11,44811,2225.0,2018-02-05,2023-05-20
2023-12-13,33996,2508.82,2020-02-14,
2023-02-23,70654,2376.25,2018-07-13,
2023-07-07,13298,2137.31,2022-12-12,
2023-07-23,12738,2062.53,2019-03-24,
2023-11-20,43505,929.57,2020-03-06,
2023-06-03,2821,583.16,2016-07-19,
2023-07-07,33339,558.99,2015-07-12,
2023-08-28,32328,996.11,2016-02-25,
2023-08-10,96789,2441.54,2020-04-26,
2023-06-30,63814,2867.77,2021-05-10,
2023-05-05,89806,963.8,2021-02-18,
2023-07-19,44348,2256.99,2021-09-01,
2023-12-19,86064,324.26,2021-11-23,
2023-03-13,62129,710.11,2018-09-23,
2023-10-15,52379,1287.91,2022-10-08,
2023-05-07,25613,192.3,2018-12-24,
2023-10-26,4600,1719.61,2022-05-06,
2023-05-20,92396,6.35,2015-05-09,
2023-06-21,93166,1767.76,2019-09-22,
2023-03-25,60677,545.05,2015-12-21,
2023-01-03,82262,1608.49,2022-02-06,2023-03-29
2023-06-26,45828,1079.12,2018-07-07,
2023-02-03,24984,1748.27,2020-07-15,
2023-07-27,42295,714.06,2015-10-26,
2023-12-30,87681,2511.66,2022-12-15,
2023-11-26,73277,225.77,2018-07-04,
2023-04-10,39538,1143.83,2020-12-10,
2023-12-25,74309,983.47,2017-06-13,
2023-10-08,26524,2087.11,2018-04-25,
2023-02-22,48414,2193.43,2020-06-18,
2023-01-29,14442,411.43,2020-02-27,
2023-02-04,13226,2060.72,2022-09-20,
2023-03-22,28136,2647.51,2016-08-20,
2023-11-12,81521,1263.59,2015-02-24,
2023-12-19,77451,1574.67,2020-11-12,
2023-12-31,4898,633.03,2017-07-18,
2023-10-02,34235,417.21,2021-09-25,
2023-07-29,91993,2179.81,2021-10-21,
2023-09-11,80670,1523.91,2020-06-18,
2023-07-15,88490,2618.49,2018-06-16,
2023-04-21,88063,2734.21,2020-09-08,
2023-11-19,54933,949.4,2016-08-29,
2023-11-29,362,1255.76,2021-03-10,
2023-04-30,62741,1171.44,2020-08-13,
2023-09-13,41874,1250.53,2019-09-10,
2023-09-06,99330,1706.82,2021-11-04,2023-08-30
2023-07-15,93859,2564.36,2020-09-15,
2023-03-14,75037,245.9,2015-01-21,
2023-08-10,7706,2563.9,2021-01-01,
2023-08-01,61299,1651.7,2017-04-01,
2023-06-11,56336,72.21,2022-07-04,
2023-12-28,60151,383.12,2017-08-12,
2023-06-12,33364,1875.56,2019-10-06,
2023-10-10,81191,871.4,2022-11-30,
2023-03-02,13836,460.79,2016-12-25,
2023-09-04,80876,840.65,2021-10-12,
2023-05-28,39941,1982.89,2018-05-04,
2023-03-23,22519,1629.15,2022-09-22,
2023-11-08,42583,2755.63,2017-04-12,
2023-10-09,88142,469.3,2021-10-28,2023-01-03
2023-10-29,325,105.43,2018-11-30,
2023-06-09,58404,1428.25,2020-11-15,
2023-12-08,25277,2149.38,2021-10-23,2023-08-23
2023-12-05,60798,2619.88,2021-03-10,
2023-02-04,91638,2142.34,2019-07-16,
2023-12-17,6938,1894.72,2019-05-20,2023-09-10
2023-10-26,70738,944.96,2021-08-05,
2023-06-25,65530,1842.67,2017-11-13,
2023-10-07,21530,457.08,2019-05-30,
2023-09-17,49283,1933.64,2015-09-20,2023-11-25
2023-03-27,16980,2083.08,2017-07-12,
2023-05-28,35802,2279.71,2020-10-05,
2023-11-15,48376,338.41,2016-04-08,
2023-03-08,45954,1536.95,2020-12-24,
2023-07-10,38410,872.72,2016-06-07,
2023-01-05,2561,1073.37,2017-12-16,
2023-08-30,16450,498.79,2021-09-22,
2023-08-16,90684,82.76,2015-02-03,
2023-11-16,23461,1500.12,2015-02-05,2023-01-10
2023-03-16,6424,934.74,2015-12-13,
2023-01-01,42960,581.28,2019-10-16,2023-09-03
2023-06-01,88011,1977.13,2015-03-07,
2023-11-09,73114,2808.61,2017-07-16,
2023-05-02,58679,1744.82,2016-10-17,
2023-10-03,57214,2876.44,2021-05-18,
2023-08-16,70975,896.51,2017-02-13,
2023-07-17,29046,1733.37,2019-01-10,
2023-04-12,56108,1654.06,2017-07-06,
2023-06-12,36848,1321.12,2016-05-12,
2023-02-25,98645,2694.8,2017-03-11,
2023-01-09,10963,2561.29,2017-10-12,
2023-12-02,98357,1781.19,2018-08-28,
2023-01-26,29618,1569.86,2017-05-07,
2023-03-03,64308,2739.34,2020-05-25,
2023-11-14,12361,452.86,2016-09-28,
2023-10-03,63458,1748.4,2021-05-04,
2023-02-13,34451,1263.58,2016-06-11,
2023-04-10,41467,2546.91,2017-05-05,
2023-10-11,59915,2211.24,2015-09-02,
2023-08-03,44014,2130.84,2022-02-18,
2023-03-17,27630,1641.01,2021-05-01,
2023-08-18,98095,2720.78,2018-11-06,2023-12-10
2023-03-11,26262,478.79,2022-03-12,2023-04-07
2023-02-04,88063,1062.06,2021-01-03,
2023-08-09,93446,2867.96,2020-03-06,2023-04-11
2023-12-20,3101,566.16,2018-06-10,
2023-10-31,56270,177.18,2020-01-27,2023-11-28
2023-05-12,34147,2344.23,2021-07-17,
2023-07-18,82694,321.31,2017-03-12,
2023-07-14,83992,2267.89,2021-05-05,
2023-11-13,1589,1317.15,2015-09-18,
2023-07-14,22828,550.78,2015-02-09,
2023-06-06,13833,2218.56,2022-06-15,
2023-11-22,28422,885.81,2015-03-20,
2023-05-03,3545,2437.79,2022-07-24,
2023-09-02,68011,382.64,2017-01-16,
2023-10-30,18203,606.33,2020-08-27,
2023-05-06,50139,1804.76,2020-06-16,
2023-12-20,65259,28.69,2017-09-14,
2023-07-28,86678,1969.67,2021-09-11,
2023-10-05,5569,2572.34,2017-05-25,
2023-02-13,96612,1629.29,2016-02-10,
2023-05-20,68043,966.21,2022-10-17,
2023-09-15,62604,2084.99,2022-02-03,
2023-03-12,69281,1017.61,2021-03-16,
2023-04-20,65817,1510.41,2022-03-08,
2023-09-19,75144,1940.64,2015-12-06,
2023-04-30,77867,1829.13,2022-11-13,
2023-11-30,26876,1044.61,2021-10-28,
2023-10-20,18267,2143.28,2022-07-19,2023-07-14
2023-04-10,74748,1724.26,2018-04-13,
2023-02-27,72025,84.9,2015-03-29,
2023-03-21,81268,1473.08,2021-11-05,
2023-04-17,57470,1042.89,2019-06-12,
2023-03-28,2805,626.6,2020-03-01,
2023-09-01,63144,914.38,2016-07-15,2023-02-25
2023-10-10,13138,1545.87,2019-02-24,
2023-12-05,29478,400.18,2016-06-12,
2023-06-11,35594,1340.08,2020-10-14,
2023-08-20,22250,222.78,2018-03-15,2023-01-05
2023-08-04,80002,1634.68,2019-03-19,
2023-04-20,34287,1750.3,2021-03-05,
2023-11-25,3656,1722.36,2016-04-21,2023-07-12
2023-02-14,16798,2616.5,2016-05-09,
2023-03-31,28987,2096.43,2022-03-18,
2023-01-19,39370,2846.39,2020-06-09,
2023-07-07,66531,344.81,2019-10-24,
2023-08-13,40535,2126.25,2021-02-08,
2023-02-01,52502,2915.07,2015-07-17,2023-07-20
2023-12-03,43914,366.16,2015-06-11,
2023-09-23,17443,1452.22,2020-03-22,
2023-04-20,69004,2368.96,2021-11-20,
2023-09-22,40853,1832.65,2019-02-10,2023-06-09
2023-01-01,56820,1187.33,2016-09-27,
2023-04-11,6816,147.58,2020-04-10,
2023-12-22,44817,59.13,2020-04-21,
2023-02-19,75842,2786.51,2021-12-17,
2023-07-04,49979,481.64,2018-03-07,
2023-01-10,27158,414.66,2016-09-25,
2023-11-09,74594,982.02,2017-02-20,
2023-09-23,29542,1061.59,2016-08-31,
2023-03-22,23991,1935.35,2020-03-17,
2023-02-17,24860,1802.95,2015-09-12,
2023-05-14,58508,1486.21,2021-03-18,
2023-02-18,12681,1144.96,2018-05-09,
2023-08-04,492,652.83,2018-04-11,
2023-01-25,80790,2507.91,2017-01-17,
2023-05-13,10852,605.2,2015-07-27,
2023-05-08,51117,2845.17,2016-09-04,
2023-07-30,33236,1998.67,2021-07-24,
2023-05-13,96918,2370.55,2016-06-11,
2023-05-01,51916,517.09,2021-11-27,
2023-07-05,50102,1384.94,2016-12-08,2023-09-18
2023-04-02,1037,2270.84,2022-09-01,
2023-09-15,9188,778.57,2015-04-21,
2023-05-01,20851,1800.93,2015-05-29,
2023-08-05,6191,1254.59,2021-08-20,
2023-11-16,10544,1169.2,2015-08-19,
2023-08-28,14878,998.31,2022-06-10,
2023-03-17,38905,2307.61,2022-01-16,
2023-09-04,82446,20.5,2016-05-23,
2023-03-09,14251,140.25,2016-10-16,
2023-11-19,8830,1386.91,2017-02-13,
2023-12-22,98979,669.23,2021-09-14,
2023-11-12,60499,914.83,2020-09-18,
2023-09-17,46558,1631.38,2017-04-03,
2023-02-20,10114,2875.65,2020-10-28,
2023-10-06,43840,196.07,2022-01-11,
2023-06-26,36148,2465.87,2016-06-30,2023-12-25
2023-12-04,33336,1176.78,2018-01-24,
2023-12-15,31178,241.32,2021-02-25,
2023-01-28,95310,48.84,2022-03-13,
2023-11-26,38708,916.8,2020-11-26,
2023-08-21,46323,748.09,2017-02-26,
2023-06-02,91750,1677.64,2022-12-24,
2023-04-29,83656,91.96,2017-08-01,
2023-06-04,40419,2483.08,2019-06-24,2023-07-11
2023-02-07,4573,375.12,2021-12-31,
2023-12-25,56576,1813.74,2017-09-21,
2023-12-12,87379,2644.73,2019-02-23,
2023-12-02,77152,2701.68,2021-02-09,
2023-03-24,40413,2634.12,2022-11-16,
2023-02-18,16564,2864.21,2020-06-15,
2023-02-08,92506,1931.12,2019-03-20,
2023-08-30,50802,2143.91,2022-10-20,
2023-06-04,99383,2895.69,2016-08-22,
2023-09-16,32649,1934.36,2021-03-06,
2023-07-30,74076,2112.2,2017-11-19,
2023-08-04,47659,2349.12,2016-07-19,
2023-02-11,53191,2862.73,2020-03-15,
2023-06-24,91653,387.6,2022-08-16,
2023-05-18,21289,1837.91,2016-07-22,
2023-06-28,63900,2386.31,2016-06-09,
2023-07-09,23464,307.91,2016-03-25,
2023-10-01,56504,2405.63,2017-05-06,
2023-07-21,92400,947.07,2020-06-09,
2023-08-19,43808,2528.98,2019-07-03,
2023-02-18,53048,1102.93,2018-01-11,
2023-07-15,50502,1601.07,2020-04-26,
2023-09-24,20043,2939.87,2015-01-18,
2023-04-19,92698,1561.42,2021-12-23,
2023-11-19,29452,1449.09,2015-03-11,
2023-01-31,54895,2540.85,2022-01-12,
2023-09-12,880,1964.93,2019-10-11,
2023-11-27,34686,1906.17,2015-02-26,
2023-12-06,38936,1260.29,2017-12-21,
2023-12-08,72545,389.16,2017-05-15,
2023-11-30,3657,1417.65,2016-07-27,
2023-08-24,82464,1783.14,2018-03-28,
2023-01-19,88065,1988.3,2019-09-01,
2023-05-16,48286,2486.25,2021-05-28,
2023-07-08,68277,540.85,2018-10-24,
2023-03-20,38980,836.33,2022-07-27,
2023-09-14,49820,1275.72,2019-10-20,
2023-06-04,597,756.51,2020-03-01,2023-08-04
2023-03-22,56469,1697.91,2022-05-18,2023-05-07
2023-07-28,83730,249.28,2015-12-12,
2023-04-22,34858,2036.08,2015-07-22,
2023-06-26,7032,2027.76,2017-02-27,
