DAY_ID,CUSTOMER_DIM_ID,POLICY_ID,POLICY_BALANCE_AMT,POLICY_STATUS,INSURANCE_POLICY_CASE_SIZE,EFF_DT,END_DT
2023-08-17,25441,POL_51,38919.17,Expired,9117.07,2018-10-21,
2023-09-04,26069,POL_65,20423.57,Expired,29588.92,2018-10-02,
2023-01-13,27828,POL_55,7789.76,Active,29677.08,2019-02-22,
2023-07-14,46040,POL_96,28626.86,Expired,31846.69,2016-12-11,2023-09-26
2023-12-15,22465,POL_32,19534.03,Active,34192.11,2021-10-18,
2023-07-27,8223,POL_68,44548.48,Active,19670.96,2018-06-16,
2023-04-26,24555,POL_35,29945.25,Expired,6888.52,2022-08-25,2023-09-18
2023-01-15,21351,POL_1,21925.74,Expired,21691.29,2016-01-12,2023-09-21
2023-05-30,7458,POL_43,17787.37,Active,36722.24,2022-07-13,
2023-08-15,1774,POL_28,9291.82,Expired,26418.6,2022-09-11,
2023-01-31,46951,POL_24,35132.68,Expired,10068.2,2017-12-21,
2023-03-31,20518,POL_88,49467.55,Expired,11927.99,2017-10-05,
2023-05-09,17182,POL_42,17613.29,Expired,30381.38,2020-08-20,
2023-09-24,24921,POL_42,46792.61,Active,10154.44,2021-09-02,
2023-07-22,30270,POL_19,35158.36,Active,49881.2,2022-08-01,
2023-11-16,28727,POL_59,9270.15,Active,46916.72,2022-08-24,
2023-03-24,46734,POL_86,37004.24,Expired,37572.15,2018-05-06,
2023-10-12,36398,POL_88,37078.01,Expired,38909.87,2016-11-14,
2023-12-16,1089,POL_91,17417.89,Expired,25254.89,2021-12-03,2023-01-31
2023-08-29,26455,POL_39,24187.89,Active,29125.07,2020-11-18,
2023-09-25,15009,POL_2,43936.98,Active,49786.96,2020-06-16,
2023-05-21,19576,POL_19,31309.02,Active,12129.99,2015-10-28,
2023-12-04,41196,POL_83,39503.7,Active,24502.35,2020-06-18,
2023-03-29,43060,POL_40,11808.77,Active,45661.49,2017-09-20,
2023-04-18,35096,POL_11,10463.36,Active,34622.83,2018-08-21,
2023-08-19,36789,POL_78,49183.85,Expired,13671.41,2022-02-23,
2023-05-27,21169,POL_47,12291.72,Expired,36934.33,2020-01-04,
2023-03-21,38071,POL_98,48857.58,Expired,34736.99,2021-11-21,
2023-05-18,16593,POL_3,16923.7,Active,11090.28,2022-04-15,
2023-06-17,7989,POL_66,18117.59,Active,8810.66,2022-02-23,
2023-04-14,29628,POL_47,38063.72,Expired,28471.66,2021-09-25,
2023-10-18,47648,POL_45,9276.46,Active,11002.31,2020-03-22,
2023-06-27,34226,POL_59,29154.43,Active,44725.96,2017-11-06,
2023-07-09,2229,POL_49,31219.29,Expired,38016.01,2015-11-25,
2023-04-13,8532,POL_46,27960.31,Active,13232.58,2018-12-16,
2023-11-13,25020,POL_59,21386.97,Active,20545.06,2018-03-31,
2023-05-10,30083,POL_21,38603.69,Active,17939.15,2019-07-08,
2023-05-01,40416,POL_16,28996.69,Active,49289.88,2019-05-06,
2023-02-09,36576,POL_3,43978.84,Expired,47045.49,2022-02-01,
2023-10-14,36527,POL_33,49424.3,Expired,33370.62,2022-11-16,
2023-09-06,49708,POL_6,30833.95,Expired,33549.47,2022-05-08,2023-01-21
2023-07-31,17814,POL_19,28885.71,Expired,11986.7,2018-04-11,
2023-01-07,17137,POL_83,7391.86,Active,48801.03,2016-01-28,
2023-11-18,21026,POL_62,12405.63,Active,7161.86,2016-09-07,
2023-07-31,15817,POL_43,47038.86,Active,12524.27,2022-07-04,2023-12-31
2023-09-23,34816,POL_80,25577.68,Active,10865.06,2016-02-14,
2023-01-15,10954,POL_88,43409.37,Expired,45695.99,2022-08-05,
2023-12-23,3802,POL_75,45145.2,Active,18340.36,2015-09-22,
2023-03-11,39490,POL_99,18847.46,Active,16979.58,2022-05-11,
2023-12-07,8867,POL_26,40380.8,Expired,26511.08,2019-10-19,
2023-09-14,10209,POL_55,22023.52,Expired,46967.54,2019-04-28,
2023-05-20,13235,POL_68,31919.08,Active,32501.86,2018-03-06,
2023-08-12,23026,POL_59,14496.04,Active,13000.0,2017-11-28,
2023-08-30,41362,POL_24,23847.52,Expired,25968.13,2021-08-26,
2023-11-10,40815,POL_57,15300.9,Active,11213.05,2016-04-18,
2023-02-03,8214,POL_13,24188.99,Active,11752.92,2022-10-13,
2023-05-20,28678,POL_27,12202.87,Expired,34757.58,2015-03-24,
2023-02-05,32515,POL_12,46653.67,Active,33713.9,2018-04-11,
2023-06-12,27569,POL_44,47047.65,Active,6110.88,2020-03-31,
2023-05-25,38870,POL_80,27847.87,Expired,16804.77,2015-02-14,
2023-10-15,7784,POL_100,5946.03,Expired,33555.42,2019-03-07,
2023-05-09,10283,POL_49,15589.79,Active,47874.07,2017-05-27,
2023-10-28,17562,POL_41,31867.92,Expired,35724.5,2022-03-07,
2023-09-04,28615,POL_98,40254.97,Active,25301.55,2021-09-21,
2023-12-31,7804,POL_70,19686.87,Active,37590.22,2015-05-08,2023-11-04
2023-12-26,17089,POL_70,8847.83,Expired,21769.04,2019-09-05,
2023-02-04,23178,POL_30,27386.19,Expired,23940.19,2019-06-10,
2023-05-26,5467,POL_92,35518.1,Expired,36153.74,2016-12-17,2023-02-15
2023-08-19,104,POL_97,47621.75,Expired,41028.08,2015-03-05,
2023-09-01,32434,POL_89,46420.37,Active,8911.6,2022-01-06,
2023-02-18,46257,POL_33,38901.08,Expired,40646.37,2016-09-18,
2023-09-20,43579,POL_76,32499.73,Active,43345.13,2016-04-12,
2023-04-28,47217,POL_84,32527.94,Expired,39413.43,2020-12-20,
2023-06-15,43976,POL_24,33432.77,Active,49668.15,2022-02-14,
2023-07-08,9871,POL_50,41195.83,Expired,41711.13,2022-06-09,2023-10-20
2023-08-17,34593,POL_38,47887.61,Active,49713.24,2018-05-04,
2023-02-27,15715,POL_28,45171.39,Active,30449.93,2018-06-22,
2023-08-23,28856,POL_29,44697.62,Expired,10976.02,2022-11-24,
2023-10-01,132,POL_48,14810.93,Expired,42221.08,2019-03-27,
2023-03-09,36273,POL_59,30409.98,Active,22909.43,2021-04-16,
2023-08-14,25635,POL_81,23346.18,Expired,38470.21,2015-01-10,
2023-12-27,13498,POL_89,40090.76,Active,37449.64,2020-12-07,2023-01-10
2023-08-16,23761,POL_68,31019.05,Active,27598.57,2019-08-23,
2023-12-20,15590,POL_56,36431.76,Active,29112.37,2022-08-16,
2023-03-27,4141,POL_26,10658.52,Expired,31491.39,2017-11-30,
2023-04-19,16175,POL_97,21009.87,Expired,45789.43,2018-10-26,
2023-05-31,12585,POL_47,47808.26,Expired,22191.69,2017-03-18,
2023-09-30,28164,POL_70,38742.93,Active,24475.02,2020-09-09,
2023-04-30,29959,POL_46,24317.06,Active,6005.6,2022-04-17,
2023-07-27,45978,POL_17,31387.25,Active,27118.28,2018-08-24,
2023-05-21,44194,POL_49,20906.52,Active,24402.58,2018-04-23,
2023-02-02,24071,POL_1,31172.04,Expired,48108.22,2021-06-17,2023-10-03
2023-08-05,24692,POL_12,27414.76,Expired,20682.83,2019-01-04,
2023-11-12,11609,POL_4,25698.27,Expired,42744.84,2015-01-09,
2023-02-24,27850,POL_19,39954.03,Active,6723.26,2017-08-26,
2023-05-29,24383,POL_74,26488.8,Expired,43375.7,2019-08-30,2023-08-24
2023-02-26,48042,POL_45,6012.31,Expired,22988.85,2015-10-12,
2023-08-15,16960,POL_36,18903.52,Active,30469.79,2020-11-16,
2023-02-06,43598,POL_73,40005.84,Active,8017.28,2017-07-11,
2023-07-03,21333,POL_40,11565.47,Active,33981.02,2016-06-18,
2023-03-26,28993,POL_24,21164.14,Active,8199.76,2022-07-27,
2023-05-22,6857,POL_79,38457.52,Active,29091.58,2018-06-11,
2023-09-07,31856,POL_15,9750.03,Expired,33879.63,2015-07-17,
2023-05-13,23449,POL_74,46693.01,Active,24512.39,2021-01-14,2023-09-09
2023-02-14,35943,POL_93,27697.8,Active,25665.84,2020-02-26,
2023-06-21,30943,POL_16,8322.19,Expired,42918.17,2016-07-01,
2023-02-26,33320,POL_34,30191.84,Active,19395.34,2019-10-16,2023-12-19
2023-03-27,30093,POL_64,47215.63,Active,11111.91,2022-08-25,2023-04-23
2023-04-21,19914,POL_84,11154.48,Active,32438.14,2022-03-12,
2023-04-08,49384,POL_83,34467.63,Expired,31627.06,2017-11-26,
2023-10-28,26117,POL_36,31844.87,Active,17488.45,2020-10-04,
2023-03-17,18803,POL_65,49577.5,Active,47710.42,2018-05-22,
2023-01-18,5176,POL_36,48125.01,Expired,42396.06,2019-06-21,
2023-04-18,46488,POL_58,49466.95,Expired,49262.2,2022-01-07,2023-05-01
2023-12-07,29215,POL_82,30025.7,Expired,19859.33,2018-01-23,2023-09-13
2023-07-22,27205,POL_94,19961.5,Active,42482.23,2018-04-12,
2023-08-04,44602,POL_55,47509.5,Active,21637.87,2018-12-30,
2023-04-24,7206,POL_34,48690.26,Active,5274.97,2018-09-02,
2023-08-19,10727,POL_89,31970.69,Expired,27359.25,2021-07-14,
2023-03-17,30089,POL_43,45510.44,Active,34469.98,2017-08-08,
2023-03-26,28470,POL_90,17924.7,Active,33832.19,2021-03-02,
2023-08-16,6001,POL_81,42065.89,Expired,11342.18,2021-07-08,
2023-05-10,31491,POL_8,47472.62,Expired,41055.35,2018-10-03,
2023-06-28,9940,POL_6,43821.2,Expired,16270.01,2018-03-09,
2023-01-27,11995,POL_100,6715.88,Expired,34469.51,2022-02-16,
2023-06-24,35438,POL_47,19012.39,Expired,32346.69,2020-02-21,
2023-03-03,14256,POL_81,21138.04,Active,26983.73,2018-02-16,2023-02-07
2023-07-27,7986,POL_65,43705.56,Expired,32021.94,2022-07-11,
2023-04-12,1117,POL_72,35285.68,Active,36937.15,2021-01-10,
2023-07-08,43537,POL_80,6198.43,Expired,22037.86,2015-11-18,
2023-01-07,17749,POL_61,41278.73,Active,25154.07,2015-12-04,
2023-08-30,34857,POL_49,26008.15,Active,38884.2,2017-12-16,
2023-09-13,1343,POL_68,9351.66,Expired,28369.67,2016-05-26,
2023-07-26,8428,POL_47,15416.07,Expired,43450.87,2020-07-12,
2023-09-22,1951,POL_54,27318.62,Expired,38885.17,2020-11-04,
2023-04-12,46776,POL_42,19423.84,Active,40676.06,2018-01-19,
2023-12-01,18170,POL_5,5758.28,Active,40499.61,2022-09-08,
2023-11-17,37400,POL_7,39044.11,Active,33638.95,2021-07-27,
2023-09-19,1915,POL_27,43643.65,Active,11271.49,2016-03-10,
2023-01-13,35247,POL_13,6112.19,Active,43890.74,2015-06-14,
2023-12-14,35289,POL_29,11814.41,Expired,23025.81,2022-06-16,
2023-10-18,2338,POL_82,35617.08,Active,46164.39,2020-07-01,
2023-09-13,48669,POL_12,23179.58,Expired,37672.33,2017-04-05,
2023-09-02,20567,POL_23,44236.54,Active,26772.62,2016-12-13,
2023-03-29,36560,POL_60,30027.17,Expired,17176.84,2016-09-25,
2023-04-15,16402,POL_19,49745.49,Expired,16645.88,2018-07-03,
2023-08-31,29133,POL_55,38509.87,Active,19484.61,2020-03-22,
2023-09-14,8310,POL_76,41926.98,Active,19608.74,2020-03-02,
2023-10-03,32967,POL_23,34346.62,Active,38711.82,2015-05-06,
2023-07-19,23010,POL_53,36667.29,Expired,14723.7,2017-03-12,
2023-03-29,8542,POL_38,9376.13,Active,38466.33,2019-07-04,
2023-08-04,2722,POL_68,41972.14,Expired,26229.87,2018-02-25,
2023-02-14,7826,POL_3,47827.92,Expired,35861.97,2015-01-24,
2023-02-12,17279,POL_93,35310.78,Expired,7641.09,2018-02-26,2023-02-09
2023-01-21,3800,POL_13,10229.87,Active,33922.63,2018-02-24,
2023-07-12,18204,POL_29,27955.66,Expired,49176.6,2016-06-02,
2023-09-25,26967,POL_84,24212.33,Expired,16586.38,2016-03-08,
2023-11-19,7967,POL_79,42939.96,Active,26094.43,2019-05-01,
2023-07-27,47440,POL_17,33675.93,Expired,45218.76,2020-03-10,
2023-06-28,10153,POL_50,21843.46,Active,46960.67,2019-09-27,
2023-11-04,17588,POL_74,18819.53,Active,37085.06,2015-08-16,
2023-01-16,37822,POL_64,9049.9,Expired,43182.46,2016-07-06,
2023-01-04,19314,POL_41,47598.65,Active,36523.41,2016-05-24,
2023-05-20,38365,POL_5,26390.93,Active,12428.59,2018-09-20,
2023-01-09,32496,POL_22,39315.42,Active,21833.22,2016-07-30,
2023-03-10,48071,POL_78,23577.26,Active,17659.95,2016-03-16,
2023-11-04,7477,POL_8,21908.27,Expired,23517.48,2015-11-08,
2023-11-13,13164,POL_48,44022.07,Active,7548.78,2021-09-04,
2023-10-20,27584,POL_59,44294.54,Active,37615.93,2018-01-20,
2023-01-05,16774,POL_95,8773.53,Active,13354.86,2017-11-21,2023-03-19
2023-01-11,28931,POL_55,24170.53,Active,45465.93,2022-06-11,
2023-10-24,45128,POL_17,30490.68,Expired,22476.33,2019-12-19,
2023-07-18,44646,POL_95,22700.57,Expired,44583.85,2020-05-16,
2023-09-05,37805,POL_49,34613.35,Active,14570.01,2017-04-07,
2023-12-30,8058,POL_89,22484.41,Expired,42677.36,2021-04-21,2023-05-24
2023-01-13,31696,POL_47,6521.04,Expired,7588.49,2021-08-13,
2023-12-15,13471,POL_47,34910.9,Active,23513.53,2018-09-13,
2023-12-26,36812,POL_29,29062.61,Active,36177.19,2017-06-27,
2023-04-26,37244,POL_82,22427.72,Active,49708.15,2018-04-19,
2023-05-21,19277,POL_25,38374.25,Active,17227.43,2021-10-29,
2023-04-10,29664,POL_26,5281.49,Active,49767.33,2017-06-23,
2023-04-25,48126,POL_80,25691.45,Expired,14004.34,2016-09-05,
2023-09-02,10118,POL_29,18314.63,Active,16786.13,2020-05-26,
2023-08-09,21216,POL_40,39269.85,Active,5797.73,2015-09-15,
2023-02-22,3693,POL_64,8092.62,Expired,36130.6,2022-12-25,
2023-06-13,36732,POL_31,48205.49,Active,39846.26,2018-10-22,
2023-10-30,17716,POL_27,34901.91,Active,19979.02,2022-11-03,
2023-12-18,26611,POL_78,44771.01,Active,41497.84,2017-10-25,
2023-12-18,29040,POL_31,38962.62,Active,16345.38,2016-10-15,
2023-11-03,11348,POL_99,16710.68,Expired,23837.92,2021-01-26,2023-04-25
2023-02-22,39403,POL_49,49672.32,Active,30598.5,2022-02-13,
2023-12-07,206,POL_79,22669.74,Expired,30115.58,2015-04-30,2023-07-11
2023-01-01,22710,POL_5,45737.88,Active,23175.19,2018-08-18,
2023-02-17,16296,POL_5,5778.17,Active,29627.77,2019-08-22,
2023-10-11,24006,POL_14,13733.61,Expired,37135.07,2021-08-18,
2023-04-17,38220,POL_98,41548.06,Active,35313.19,2016-11-22,
2023-07-27,43127,POL_29,14352.46,Expired,29626.52,2022-04-18,
2023-08-17,27606,POL_41,36407.34,Active,27292.11,2020-10-11,
2023-09-18,17485,POL_62,21060.79,Expired,43246.72,2016-04-06,
2023-09-22,23844,POL_88,29932.8,Active,26784.41,2015-12-06,
2023-04-19,24695,POL_28,9415.67,Active,7495.52,2021-08-22,
2023-02-24,14317,POL_2,28831.94,Active,35605.12,2021-01-09,
2023-07-19,20327,POL_5,11183.42,Expired,21929.85,2015-03-02,
2023-02-21,41735,POL_58,39997.38,Active,13222.31,2015-01-14,
2023-07-31,38843,POL_30,19248.45,Active,25908.63,2020-02-01,
2023-12-01,13670,POL_50,28438.46,Active,5267.12,2016-01-14,
2023-02-22,22358,POL_82,17325.25,Active,40192.14,2018-09-10,
2023-05-16,41562,POL_45,18696.75,Active,8506.18,2018-10-18,
2023-10-07,24621,POL_95,43409.07,Active,30671.98,2018-09-11,
2023-11-03,3168,POL_69,41169.94,Expired,14209.06,2022-12-04,
2023-10-06,47669,POL_17,41229.65,Expired,29779.41,2022-02-08,
2023-04-15,34446,POL_33,12253.41,Active,18477.56,2020-09-30,
2023-10-05,26332,POL_67,22198.36,Expired,17497.43,2016-12-18,
2023-02-03,27456,POL_72,48132.91,Active,48024.48,2022-04-19,
2023-04-25,44514,POL_17,46802.99,Active,22855.63,2017-01-29,
2023-10-02,24776,POL_99,45298.92,Active,9048.59,2015-07-11,
2023-05-19,2570,POL_64,24384.87,Active,46248.23,2017-02-13,
2023-12-28,10800,POL_60,42353.98,Expired,25391.12,2018-01-18,2023-08-31
2023-07-02,21380,POL_73,41402.45,Active,20405.95,2021-07-14,
2023-12-09,21669,POL_50,18061.29,Active,6339.42,2022-03-23,
2023-02-02,48576,POL_64,7260.1,Active,32155.98,2015-10-18,
2023-06-02,47558,POL_91,41782.12,Active,40508.66,2015-04-23,
2023-11-23,20716,POL_9,18492.76,Expired,13201.61,2020-09-01,
2023-01-07,46956,POL_96,39454.76,Expired,20263.13,2016-09-12,
2023-01-19,39124,POL_10,8143.97,Active,8423.28,2019-12-22,
2023-09-02,15257,POL_89,27890.52,Active,39644.23,2016-05-14,
2023-06-25,22869,POL_5,9523.42,Active,7693.93,2017-10-19,
2023-05-08,47147,POL_4,48527.29,Expired,21707.8,2018-12-05,
2023-03-21,37352,POL_54,32286.14,Expired,22926.77,2015-03-14,
2023-12-06,27660,POL_52,10242.87,Active,45099.98,2015-06-08,
2023-03-04,46984,POL_97,20168.13,Active,26502.21,2019-12-22,2023-04-13
2023-10-12,5148,POL_81,45189.26,Active,9356.98,2018-05-07,2023-09-27
2023-08-08,20999,POL_39,39670.35,Active,41142.14,2016-09-26,
2023-04-01,29412,POL_57,27692.93,Active,21116.1,2015-02-06,
2023-12-07,9007,POL_42,49056.04,Active,23795.98,2021-04-28,
2023-12-22,25688,POL_31,33968.47,Expired,41803.68,2016-01-30,
2023-08-15,22176,POL_59,20049.23,Expired,37684.49,2020-09-12,
2023-06-24,39988,POL_64,48554.13,Active,42106.79,2018-08-04,
2023-04-25,11834,POL_19,25988.73,Expired,25313.27,2019-04-05,
2023-06-04,11077,POL_13,46693.71,Expired,46201.67,2017-01-21,
2023-04-09,44297,POL_15,16009.73,Active,44330.21,2019-02-13,
2023-02-08,33471,POL_63,27566.46,Expired,28933.68,2017-01-29,
2023-05-16,12681,POL_79,42430.15,Active,46218.47,2017-08-19,2023-08-05
2023-08-08,9895,POL_81,18255.99,Active,15806.65,2017-03-06,
2023-03-09,149,POL_32,11784.3,Active,10432.07,2021-03-07,
2023-11-30,36463,POL_50,22350.59,Expired,41414.61,2022-09-25,
2023-04-24,19918,POL_26,41061.29,Expired,23848.7,2015-06-18,
2023-12-14,35934,POL_26,31393.85,Active,11018.42,2020-05-21,
2023-11-03,32762,POL_50,41812.29,Expired,11636.99,2015-05-30,
2023-07-29,34122,POL_87,11966.96,Active,11976.04,2022-04-27,
2023-05-13,79,POL_11,27526.84,Expired,26126.92,2018-10-13,
2023-07-03,25010,POL_69,30391.27,Expired,29221.08,2016-04-19,
2023-11-22,36782,POL_69,16171.32,Expired,15103.04,2020-05-11,
2023-06-19,14213,POL_64,23401.2,Expired,11885.28,2020-05-22,
2023-11-18,13822,POL_78,46953.62,Expired,39325.45,2016-06-09,
2023-08-13,14044,POL_61,38004.28,Expired,47526.15,2022-03-06,
2023-01-08,34346,POL_90,18829.65,Expired,24382.75,2016-11-03,
2023-06-09,14969,POL_33,46560.46,Expired,28697.54,2015-08-09,
2023-01-03,14119,POL_95,5480.52,Expired,20292.3,2018-04-12,2023-02-19
2023-05-25,30407,POL_40,32094.08,Active,29184.08,2019-12-02,
2023-02-01,48446,POL_56,18341.33,Expired,17394.78,2021-05-17,
2023-04-28,10942,POL_47,38533.73,Active,45168.37,2019-11-01,2023-05-15
2023-01-31,5995,POL_79,35231.17,Active,48750.32,2021-08-29,
2023-06-30,7358,POL_1,5194.04,Active,30182.49,2016-04-01,
2023-01-22,47329,POL_24,37671.74,Active,7489.05,2017-07-18,
2023-03-22,17477,POL_72,40229.53,Expired,12152.38,2016-08-13,
2023-07-20,37990,POL_70,39267.72,Expired,38528.64,2021-09-08,
2023-05-30,20653,POL_15,29865.21,Active,12415.77,2022-06-22,
2023-06-18,17656,POL_42,45739.98,Expired,45374.46,2021-08-08,
2023-04-27,47193,POL_60,38301.13,Expired,33971.66,2016-06-08,
2023-03-11,25496,POL_50,15652.43,Expired,8945.52,2021-01-31,
2023-05-02,33666,POL_10,14792.99,Expired,36569.78,2019-10-12,
2023-11-15,27357,POL_80,31790.84,Active,6440.34,2021-03-10,
2023-07-26,29521,POL_85,44208.83,Expired,11378.91,2015-02-05,
2023-07-23,1887,POL_13,46185.18,Active,14564.0,2022-02-05,
2023-05-08,43688,POL_91,8588.78,Active,22158.99,2021-12-07,2023-09-01
2023-02-28,17493,POL_71,41016.96,Expired,24500.13,2018-03-27,
2023-09-22,5272,POL_60,6204.21,Expired,15417.87,2021-10-29,
2023-03-25,943,POL_64,9887.12,Active,19517.95,2022-09-25,
2023-08-31,44143,POL_20,10670.1,Active,44420.14,2022-07-29,
2023-07-15,31718,POL_81,35412.07,Active,18199.11,2019-01-02,
2023-01-03,20653,POL_22,35543.07,Expired,33582.82,2015-06-13,
2023-01-05,3551,POL_59,19526.91,Expired,34225.45,2017-01-08,
2023-06-20,17380,POL_49,42022.39,Expired,41619.25,2021-07-14,2023-09-05
2023-10-04,12423,POL_6,35150.76,Expired,43195.07,2018-01-14,
2023-06-15,45443,POL_44,33149.88,Active,8313.45,2019-01-22,
2023-06-28,9446,POL_15,36614.58,Expired,43589.4,2016-02-20,
2023-07-29,14866,POL_65,7635.77,Active,9016.7,2020-06-01,
2023-02-20,25859,POL_60,35680.49,Active,24898.76,2016-02-12,
2023-12-13,20085,POL_75,11629.72,Active,49611.4,2020-04-07,
2023-11-11,8436,POL_89,23438.8,Expired,31119.19,2022-11-09,
2023-07-30,49728,POL_80,29248.59,Expired,39988.1,2016-08-06,
2023-03-14,12054,POL_82,44051.26,Expired,47794.58,2018-02-01,
2023-11-04,42761,POL_36,8810.79,Active,24678.87,2015-02-05,
2023-12-29,44476,POL_11,45033.13,Expired,7850.28,2018-11-03,
2023-01-29,2946,POL_19,35536.2,Expired,10659.29,2016-01-18,
2023-10-04,33332,POL_33,29399.88,Expired,15235.36,2017-11-07,2023-03-29
2023-06-10,33811,POL_55,17896.33,Expired,18286.24,2015-01-08,
2023-01-24,39547,POL_15,6514.81,Expired,23940.54,2016-05-17,
2023-06-01,32686,POL_40,32053.81,Expired,19977.75,2016-02-03,2023-02-04
2023-03-11,6864,POL_29,7447.78,Expired,18664.85,2017-05-31,
2023-11-05,21771,POL_40,22765.39,Active,26837.39,2017-07-26,
2023-01-26,21862,POL_3,9163.66,Expired,33497.61,2020-06-04,
2023-04-04,7840,POL_48,26490.43,Expired,38739.68,2020-02-15,
2023-01-07,5963,POL_79,49968.11,Expired,41412.76,2021-03-11,
2023-09-03,1418,POL_59,33839.03,Active,34325.91,2020-03-18,
2023-12-31,1436,POL_24,16871.0,Expired,20561.26,2022-12-07,
2023-09-06,19823,POL_4,9035.91,Active,13900.81,2021-12-23,
2023-03-20,21002,POL_78,5064.09,Expired,42829.16,2021-01-18,
2023-11-28,45836,POL_100,46022.21,Expired,39060.38,2015-06-16,
2023-06-07,23219,POL_9,11275.01,Active,38501.38,2016-09-07,
2023-06-08,30339,POL_97,12208.37,Active,13945.56,2017-01-27,
2023-05-31,30634,POL_83,37534.01,Expired,33285.31,2018-11-21,
2023-05-15,36505,POL_65,21833.97,Active,24158.67,2016-12-19,
2023-08-24,23330,POL_54,10551.99,Active,12802.65,2015-02-17,2023-11-16
2023-09-20,49882,POL_30,18299.95,Active,30584.08,2018-04-04,
2023-01-23,10060,POL_89,19736.04,Active,30142.72,2018-09-28,
2023-12-11,20214,POL_51,36767.61,Active,17751.92,2020-05-30,
2023-03-05,19500,POL_76,14395.27,Active,30489.78,2017-02-23,
2023-02-02,888,POL_29,30511.6,Active,42384.98,2019-02-10,2023-05-05
2023-07-10,20409,POL_55,34590.6,Expired,21125.67,2020-10-02,
