DAY_ID,ACCOUNT_DIM_ID,CREDIT_CARD_SPEND_AMT,CARD_TYPE,EFF_DT,END_DT
2023-09-16,21168,1010.57,Amex,2022-10-21,
2023-11-13,18457,540.14,Visa,2017-05-27,
2023-04-11,49476,4034.21,Visa,2021-04-21,
2023-06-07,10726,68.51,Visa,2019-12-07,
2023-03-23,35285,3773.9,MasterCard,2022-08-09,2023-01-11
2023-09-18,6616,396.53,MasterCard,2015-01-28,
2023-03-02,19544,3413.66,Visa,2017-05-31,2023-05-01
2023-10-02,70439,4638.08,MasterCard,2018-09-16,
2023-01-11,16677,4846.11,Amex,2016-10-23,
2023-07-21,43871,3878.39,Visa,2016-05-07,
2023-11-09,28125,4759.02,Visa,2019-07-13,
2023-04-28,33582,3573.17,Amex,2021-11-11,
2023-02-22,78327,831.47,MasterCard,2017-10-05,
2023-02-18,51723,3678.87,MasterCard,2016-11-14,
2023-10-05,92311,222.21,Amex,2015-06-01,
2023-09-05,99148,3839.5,MasterCard,2016-01-22,
2023-04-08,81152,1102.12,Visa,2018-10-11,
2023-04-22,51354,1349.39,Amex,2019-06-30,
2023-07-17,18216,4377.9,Visa,2017-06-15,
2023-05-28,85942,947.83,MasterCard,2018-05-03,
2023-06-20,75547,3036.8,MasterCard,2016-11-12,
2023-08-31,44907,3834.84,Visa,2019-06-14,
2023-06-03,87450,778.26,Visa,2017-09-21,
2023-06-28,20538,1235.89,Visa,2019-06-22,
2023-03-06,80833,3864.26,Amex,2017-12-22,
2023-01-30,61178,4262.74,Amex,2022-01-27,
2023-01-08,91372,4813.9,Amex,2020-02-13,
2023-02-15,42842,1067.47,MasterCard,2019-08-04,
2023-03-09,24814,1126.13,Amex,2020-07-26,
2023-11-27,15180,4494.75,Visa,2019-04-04,
2023-04-19,55240,2377.36,Visa,2017-08-14,
2023-04-17,76617,280.79,Visa,2016-12-25,
2023-01-26,33833,2952.63,Amex,2021-11-08,
2023-09-21,48021,4703.32,Visa,2018-10-02,
2023-09-14,80794,2487.2,Amex,2021-08-04,
2023-10-09,4947,1415.79,Amex,2015-05-22,
2023-12-05,52700,1777.86,Amex,2018-05-17,2023-07-31
2023-09-26,81512,2273.65,MasterCard,2015-09-25,
2023-07-31,58183,4677.56,Amex,2020-02-21,
2023-06-25,18305,384.45,Amex,2019-03-19,
2023-07-16,34643,3526.3,Amex,2015-05-20,
2023-02-09,47014,1921.2,Amex,2020-07-23,2023-02-23
2023-06-05,10435,707.98,Amex,2015-02-26,
2023-12-25,65190,3133.06,Visa,2017-03-30,
2023-03-24,73364,3949.14,Amex,2015-03-11,
2023-02-05,95708,1197.65,MasterCard,2015-09-18,
2023-03-25,32626,1833.86,Visa,2022-04-08,2023-07-05
2023-12-27,31727,4265.08,MasterCard,2019-03-03,
2023-10-19,29107,1984.55,MasterCard,2018-05-11,
2023-03-13,61533,3259.54,Visa,2022-06-23,
2023-05-23,79490,2088.67,Amex,2019-04-11,
2023-09-20,76642,4496.06,Visa,2020-07-18,
2023-09-25,54175,3621.03,Amex,2017-03-02,
2023-03-31,40473,4782.39,MasterCard,2019-05-15,
2023-06-14,31961,382.41,Amex,2016-07-14,
2023-02-27,54946,4477.42,Visa,2016-04-21,
2023-10-17,4820,3162.78,MasterCard,2020-07-17,
2023-02-14,11961,2270.65,MasterCard,2016-02-07,
2023-08-21,73893,3283.35,MasterCard,2020-11-05,
2023-04-23,84186,673.92,Visa,2016-07-04,
2023-11-14,58334,4563.86,MasterCard,2020-01-27,
2023-04-29,86347,2354.45,Visa,2018-10-17,
2023-12-14,86288,2961.15,Visa,2022-07-18,
2023-04-13,55125,4993.5,Amex,2016-08-14,
2023-07-18,63850,4313.87,Amex,2020-04-20,
2023-04-07,33848,4297.38,Amex,2017-08-18,2023-12-13
2023-10-23,35129,3946.38,Amex,2017-10-18,
2023-09-28,58964,2797.14,Amex,2019-03-30,
2023-03-05,465,216.37,MasterCard,2017-06-25,
2023-09-10,48037,4717.56,MasterCard,2016-03-16,
2023-03-25,26375,1826.28,MasterCard,2019-11-12,
2023-04-18,13907,1828.59,Visa,2021-02-13,
2023-11-11,30463,4489.95,Amex,2018-06-21,
2023-10-06,55879,1292.03,Amex,2021-03-05,
2023-05-19,56842,2107.51,MasterCard,2015-07-26,2023-05-07
2023-04-16,70123,2327.34,Visa,2020-12-26,
2023-03-11,84782,235.89,Amex,2016-07-06,
2023-02-05,22673,877.02,Visa,2017-04-01,
2023-10-28,30774,3900.01,Amex,2016-01-04,
2023-05-15,69994,2732.32,Visa,2016-09-19,2023-12-31
2023-01-12,48392,4014.67,Visa,2017-02-01,2023-07-26
2023-11-09,24480,3620.72,MasterCard,2016-05-12,
2023-08-17,25881,4604.64,Amex,2017-03-15,
2023-07-15,85991,4375.06,MasterCard,2019-08-05,
2023-05-23,32189,3072.95,Amex,2019-11-13,
2023-09-08,30058,4027.35,MasterCard,2018-12-06,
2023-07-15,96627,4721.7,Visa,2017-05-01,
2023-07-15,60368,1566.41,MasterCard,2022-07-09,
2023-11-30,95983,55.28,Visa,2019-06-12,
2023-02-11,87751,245.21,Visa,2018-05-09,
2023-11-12,8860,3989.73,Amex,2018-03-08,
2023-07-31,25417,3869.03,Amex,2015-04-05,
2023-01-31,76155,927.58,MasterCard,2021-08-21,
2023-11-15,83407,324.56,Visa,2016-07-05,
2023-11-21,98545,2095.33,MasterCard,2017-08-13,
2023-07-19,93399,4798.29,MasterCard,2021-08-17,
2023-05-29,91066,2358.57,Visa,2021-04-27,
2023-02-08,3641,4034.05,Visa,2016-06-10,
2023-12-07,22419,1388.47,Visa,2015-03-17,
2023-08-30,92196,1490.2,Visa,2020-09-25,
2023-02-28,30494,1330.05,MasterCard,2015-11-28,
2023-08-17,8184,4776.35,Visa,2021-06-14,
2023-12-14,12221,2936.17,MasterCard,2020-04-11,
2023-01-31,33546,2986.96,Amex,2021-12-10,
2023-01-30,21416,2280.92,MasterCard,2016-04-26,2023-08-08
2023-06-09,30612,4400.16,MasterCard,2017-05-08,
2023-12-02,33535,2175.39,Amex,2021-01-13,
2023-11-23,49557,89.86,Amex,2015-06-25,
2023-04-01,71253,3998.59,Visa,2020-12-14,
2023-10-16,56102,4204.28,MasterCard,2019-11-22,
2023-02-13,1481,1390.73,Visa,2022-12-05,
2023-07-20,64094,2706.26,Visa,2021-07-29,
2023-01-05,40781,2556.01,Visa,2017-06-06,
2023-07-11,9070,4252.46,Visa,2020-10-18,
2023-08-31,48237,451.85,Visa,2022-06-29,
2023-04-03,18202,757.85,MasterCard,2015-02-17,
2023-11-17,79550,324.2,Visa,2018-04-22,
2023-03-29,13880,3279.04,Amex,2016-03-04,
2023-03-07,48241,619.38,MasterCard,2017-05-18,
2023-04-16,62920,3700.44,Amex,2017-06-10,
2023-11-23,6232,435.75,Amex,2017-09-03,
2023-05-09,12724,3725.72,Visa,2021-07-21,
2023-05-11,50175,3611.0,MasterCard,2016-09-28,
2023-12-22,23027,1481.12,Visa,2016-08-20,
2023-06-06,17528,1768.69,Amex,2016-04-07,
2023-04-23,55974,3040.18,Visa,2015-07-28,
2023-08-19,48177,4505.57,MasterCard,2022-05-22,
2023-08-20,25215,4086.0,Visa,2016-10-14,
2023-10-23,17611,2937.36,Amex,2019-10-06,
2023-01-17,84880,565.45,MasterCard,2015-03-21,2023-07-27
2023-04-13,75861,1427.83,Amex,2020-03-08,
2023-08-11,18062,2082.04,Amex,2017-11-26,
2023-06-01,97743,910.83,Amex,2021-01-31,
2023-02-18,40063,1455.14,MasterCard,2022-02-08,
2023-12-27,63171,1211.06,MasterCard,2021-08-08,
2023-10-09,14649,2194.17,Amex,2017-07-01,
2023-07-02,52468,2750.96,Amex,2022-02-17,
2023-03-08,9200,703.82,MasterCard,2015-06-28,
2023-02-15,95135,2730.67,Visa,2017-09-26,
2023-09-18,30394,1942.52,MasterCard,2022-06-11,
2023-02-27,93595,4625.17,MasterCard,2019-01-09,
2023-05-04,87685,236.66,MasterCard,2018-10-12,
2023-01-21,28659,381.66,Visa,2021-10-03,
2023-12-21,81336,4015.62,Visa,2018-02-06,
2023-12-22,97059,3235.34,Visa,2016-06-12,
2023-10-02,14841,1271.28,Amex,2016-07-25,
2023-07-08,97667,124.82,MasterCard,2018-03-19,
2023-09-13,36711,3529.13,Amex,2018-04-05,
2023-02-19,2998,1895.47,MasterCard,2019-06-09,
2023-11-19,7705,2669.03,MasterCard,2021-10-16,
2023-08-18,90136,3404.56,MasterCard,2017-09-20,
2023-04-03,51538,3494.49,Visa,2017-03-01,
2023-05-10,23544,3011.27,Visa,2016-11-10,
2023-10-01,26076,2213.93,Visa,2019-01-16,
2023-03-10,55076,3198.36,MasterCard,2017-10-14,
2023-08-12,24428,812.25,Visa,2018-08-19,
2023-01-08,63015,3646.06,Visa,2015-04-09,2023-10-10
2023-08-31,60462,1056.78,MasterCard,2020-07-30,
2023-07-03,68614,3234.0,Amex,2016-08-26,
2023-01-10,48789,2670.28,MasterCard,2018-06-22,
2023-03-10,75124,1689.5,Amex,2021-02-17,2023-04-23
2023-06-17,78324,4467.49,Visa,2022-10-17,
2023-12-24,34890,2452.36,MasterCard,2020-06-16,
2023-03-19,60199,2251.07,MasterCard,2019-07-16,
2023-06-18,9593,870.78,Amex,2016-02-06,
2023-11-05,74575,3365.25,MasterCard,2015-04-14,
2023-06-21,26576,888.76,Amex,2022-01-16,
2023-05-17,72757,3513.37,MasterCard,2021-12-23,
2023-12-05,88819,4774.37,Visa,2019-10-29,
2023-05-18,97829,729.76,Amex,2015-12-05,
2023-03-07,56963,673.4,MasterCard,2017-01-02,
2023-05-13,42585,1200.66,MasterCard,2017-12-29,
2023-02-23,77289,3743.43,Amex,2016-09-19,
2023-03-21,25271,913.24,Visa,2015-03-07,
2023-06-19,38869,2808.07,Visa,2022-04-02,
2023-04-01,53719,1664.7,Visa,2018-02-05,
2023-01-29,48248,3252.47,MasterCard,2020-04-05,
2023-05-10,56921,4855.34,Amex,2018-08-27,
2023-01-05,56693,1608.78,MasterCard,2018-08-06,
2023-11-07,16439,3885.53,Visa,2015-08-03,
2023-08-04,99075,1961.89,Visa,2021-06-26,2023-03-14
2023-05-02,72109,4532.37,MasterCard,2022-10-18,
2023-01-26,35407,961.09,MasterCard,2020-10-10,
2023-05-14,12817,3605.9,MasterCard,2021-12-01,
2023-02-12,95723,2124.41,Amex,2021-05-30,
2023-11-07,17384,486.83,Amex,2022-03-23,
2023-03-06,38462,596.12,Amex,2021-11-11,
2023-07-29,60413,888.65,Visa,2019-09-19,
2023-04-21,53829,821.97,MasterCard,2016-10-18,
2023-11-13,26760,3176.9,MasterCard,2015-06-24,
2023-03-05,91268,1322.83,Amex,2017-10-24,
2023-12-26,42163,3295.71,Amex,2018-05-15,
2023-05-07,15313,983.55,MasterCard,2016-02-17,
2023-05-10,33556,1100.16,MasterCard,2016-12-02,
2023-01-27,55525,4028.94,Amex,2021-12-11,
2023-06-09,38783,1498.5,Visa,2017-09-21,
2023-11-15,35659,1412.64,Amex,2015-03-11,
2023-04-28,48424,4827.82,Amex,2019-07-26,
2023-09-11,2449,4987.69,Visa,2019-01-26,
2023-02-24,15689,2352.37,Visa,2021-05-29,
2023-09-21,1070,3192.0,MasterCard,2015-04-17,
2023-11-25,65909,4692.56,Visa,2017-03-15,
2023-01-09,53842,3525.81,MasterCard,2021-10-16,2023-09-17
2023-11-12,42474,2786.2,Amex,2015-09-20,
2023-08-13,2230,2113.97,MasterCard,2016-11-17,
2023-08-13,26223,3512.61,Visa,2015-07-28,
2023-12-23,80469,3261.23,MasterCard,2019-10-02,
2023-11-21,27272,2861.96,Amex,2015-10-27,
2023-04-17,17644,2088.21,Visa,2022-10-06,
2023-10-15,8807,2241.69,Amex,2018-03-16,
2023-08-06,74855,4817.28,Amex,2017-07-29,
2023-04-29,97794,2237.8,Amex,2018-08-18,
2023-08-22,5954,75.53,Visa,2021-12-26,
2023-10-12,90983,2002.68,MasterCard,2021-12-27,
2023-07-31,36274,4094.9,Visa,2019-05-25,
2023-04-14,95122,2284.4,Amex,2021-09-11,
2023-04-23,47314,4306.84,MasterCard,2019-10-19,
2023-07-10,6166,1502.94,MasterCard,2020-05-14,
2023-05-18,4506,4928.11,Amex,2015-07-01,
2023-02-11,49448,1291.5,Amex,2020-12-20,
2023-01-20,57194,284.95,MasterCard,2016-12-17,
2023-09-08,58585,3880.74,Amex,2021-01-05,
2023-07-27,99256,1826.03,Visa,2015-05-05,
2023-08-28,49390,3044.02,MasterCard,2019-01-31,
2023-11-07,73829,445.21,Amex,2016-06-12,
2023-02-05,14318,4474.87,Visa,2020-12-14,
2023-11-16,43889,973.38,MasterCard,2021-11-11,
2023-04-30,6585,311.66,Amex,2022-02-05,
2023-09-16,62751,2008.76,Visa,2021-09-15,
2023-12-31,69788,4329.56,MasterCard,2017-03-30,
2023-02-09,29523,4902.86,Visa,2016-11-05,
2023-02-18,80720,3624.3,Amex,2021-10-07,
2023-07-09,9358,2887.79,Amex,2015-01-10,2023-08-26
2023-10-11,27994,1655.64,Amex,2017-03-19,
2023-06-15,84736,3776.37,Visa,2017-05-19,
2023-09-20,49610,1768.02,Amex,2017-05-30,
2023-05-07,91003,3808.69,Visa,2019-12-19,
2023-10-12,40697,2397.81,MasterCard,2016-09-07,
2023-04-05,30313,4239.01,Visa,2021-11-18,
2023-08-14,59009,1282.16,Visa,2021-06-06,
2023-11-25,24164,1808.67,MasterCard,2021-04-19,
2023-08-05,92546,4428.35,MasterCard,2021-09-22,
2023-05-04,43083,4885.6,Amex,2022-02-21,
2023-06-18,80313,3071.25,Visa,2017-01-01,
2023-03-20,53972,851.83,Visa,2021-08-06,
2023-01-17,56130,4401.53,MasterCard,2019-09-07,
2023-11-01,35009,1700.28,MasterCard,2021-11-12,
2023-12-14,20138,4780.73,MasterCard,2020-08-26,
2023-10-17,58925,4159.59,MasterCard,2019-06-08,
2023-02-10,71646,60.02,MasterCard,2016-03-03,2023-07-05
2023-01-14,76580,4904.62,Visa,2022-06-30,
2023-06-17,69414,1027.84,MasterCard,2021-08-20,
2023-06-05,15655,4637.34,Amex,2015-10-24,
2023-01-29,89571,2562.7,Amex,2018-09-12,
2023-06-26,75603,1359.02,Amex,2020-08-24,2023-07-25
2023-07-19,42889,201.13,Visa,2018-06-16,
2023-09-10,51155,4189.64,Amex,2018-05-28,
2023-02-09,21825,3273.11,Amex,2021-09-21,
2023-05-05,61509,270.2,Amex,2020-11-01,
2023-12-21,23312,990.61,Visa,2022-03-07,
2023-07-18,68807,3982.64,Visa,2021-04-29,
2023-03-26,64299,4431.16,MasterCard,2021-12-04,
2023-05-06,86467,1946.07,MasterCard,2018-05-29,
2023-05-11,72208,3914.45,Visa,2019-04-20,
2023-04-28,93269,183.07,MasterCard,2022-02-19,2023-04-20
2023-09-23,40876,3436.63,Amex,2022-11-07,
2023-09-14,67974,3852.89,MasterCard,2015-07-23,
2023-03-07,69034,928.77,MasterCard,2016-05-16,
2023-08-22,20613,828.4,Visa,2015-12-19,
2023-04-29,86586,2580.88,MasterCard,2015-12-08,
2023-09-18,70161,3337.87,Amex,2020-12-20,2023-02-27
2023-11-07,29278,926.72,MasterCard,2018-01-29,
2023-10-15,33411,2621.7,MasterCard,2016-12-12,
2023-06-06,57126,1143.14,Visa,2021-06-07,
2023-11-16,15256,1024.57,MasterCard,2016-10-09,
2023-12-02,7064,2396.6,Amex,2018-03-18,2023-10-30
2023-10-06,25434,3786.73,Visa,2020-08-07,
2023-10-27,48272,4588.27,Visa,2021-11-26,
2023-09-20,18018,2540.62,Visa,2017-04-24,
2023-11-26,89877,1022.73,MasterCard,2017-11-19,
2023-12-08,80526,983.77,Visa,2019-08-10,
2023-01-03,22779,3518.47,Visa,2021-05-28,
2023-11-18,41184,3902.68,Visa,2019-08-07,2023-08-31
2023-12-01,42352,2391.89,MasterCard,2017-02-07,
2023-09-09,45482,3805.97,Amex,2017-06-13,
2023-05-03,41108,4274.12,MasterCard,2022-03-12,
2023-07-20,55467,1171.5,Amex,2018-07-18,
2023-12-06,58907,606.06,Visa,2020-07-24,2023-05-21
2023-10-29,29040,189.05,Visa,2015-06-27,
2023-07-05,80427,3787.14,Visa,2015-06-24,
2023-07-09,97791,645.27,Amex,2020-03-31,
2023-12-19,32168,1441.35,Amex,2022-06-04,
2023-05-17,43392,4040.68,MasterCard,2015-11-19,
2023-02-14,94187,3948.63,Visa,2016-04-01,
2023-08-29,41206,4177.41,MasterCard,2016-08-20,
2023-11-09,61603,1550.21,Amex,2017-04-25,
2023-06-25,48181,4551.75,MasterCard,2021-10-18,2023-01-05
2023-08-24,3970,2607.96,MasterCard,2021-05-01,
2023-04-19,49048,1329.92,MasterCard,2018-12-07,
2023-07-03,47647,2194.4,Visa,2017-08-07,
2023-05-11,91761,481.35,Amex,2019-08-31,
2023-04-07,81782,3805.48,Visa,2020-03-19,
2023-01-17,39337,777.66,Visa,2020-03-22,
2023-07-28,73412,3874.95,Amex,2022-07-08,
2023-11-21,25152,711.47,Visa,2015-11-12,
2023-05-03,5464,4410.72,Visa,2015-02-25,
2023-02-08,77862,4173.37,Visa,2021-10-10,
2023-11-15,3107,4985.06,Amex,2015-06-28,
2023-10-20,26224,1402.96,Amex,2015-11-05,
2023-01-20,95768,596.22,Visa,2019-11-30,
2023-09-25,92718,1000.07,Visa,2017-09-30,
2023-03-02,61550,1965.56,Amex,2016-07-26,
2023-04-09,18230,1530.91,Visa,2019-07-02,
2023-05-30,2651,1588.24,Visa,2022-03-28,
2023-02-12,36619,1994.38,Amex,2021-01-10,
2023-06-08,47876,2398.39,Visa,2017-06-10,
2023-12-28,75674,2551.6,Visa,2018-06-23,
2023-04-16,26268,924.16,MasterCard,2022-08-12,
2023-12-29,6760,3584.29,MasterCard,2017-05-14,
2023-03-11,96868,4836.83,MasterCard,2019-08-20,
2023-06-03,29223,3167.35,MasterCard,2021-04-30,
2023-08-11,13239,4121.56,Amex,2022-07-20,
2023-12-21,82521,964.95,Visa,2015-06-04,2023-08-07
2023-01-28,4855,3036.34,Amex,2020-12-02,
2023-01-01,74283,1731.27,Amex,2017-09-17,
2023-02-17,7036,3296.78,Amex,2020-12-23,
2023-02-01,32548,1142.95,Amex,2019-12-08,
2023-12-26,36457,1697.91,MasterCard,2021-08-31,
2023-08-07,2057,2915.35,Visa,2020-01-12,
2023-11-16,98006,4380.79,MasterCard,2019-02-08,
2023-03-29,36781,180.45,MasterCard,2015-01-14,
2023-10-05,56582,2416.37,MasterCard,2015-04-15,
2023-01-26,96676,659.78,MasterCard,2021-07-11,
2023-07-06,48522,658.55,Amex,2019-08-04,
2023-09-08,67002,3818.14,Amex,2022-03-13,
2023-07-07,45797,4641.56,Visa,2022-10-10,
2023-05-01,27655,213.68,MasterCard,2016-05-18,2023-01-21
2023-08-13,5865,3564.47,Amex,2018-05-19,
2023-04-12,33513,4534.14,MasterCard,2017-04-28,
2023-11-27,61342,388.76,Amex,2018-09-20,
2023-07-11,75967,4510.92,MasterCard,2022-01-21,
2023-08-17,9704,517.71,MasterCard,2019-01-05,
2023-09-19,2124,1194.13,Visa,2020-02-09,
2023-04-03,87936,2645.14,Visa,2018-03-19,
2023-07-31,30717,1744.29,Amex,2018-01-01,
2023-02-27,61880,4589.82,MasterCard,2018-09-17,
2023-04-03,48072,4789.86,Visa,2020-10-08,
2023-09-23,28563,742.55,Amex,2015-05-27,2023-04-26
2023-04-27,67859,3704.59,MasterCard,2015-08-26,
2023-03-18,10336,2155.35,Visa,2020-08-25,
2023-05-27,66996,984.64,Visa,2015-09-21,
2023-08-26,49571,4107.1,Visa,2021-02-21,
2023-03-07,17274,3319.13,Amex,2018-12-31,
2023-11-15,97175,290.14,MasterCard,2021-05-01,
2023-10-14,58868,4809.63,Amex,2017-10-24,
2023-03-26,12715,4267.65,Visa,2021-12-05,
2023-03-14,62266,1046.0,Visa,2020-10-11,
2023-01-03,8433,4403.21,Visa,2017-03-24,
2023-08-23,8518,2836.51,Visa,2022-01-02,
2023-10-21,31215,3562.3,Amex,2022-06-26,
2023-06-29,89723,2737.2,MasterCard,2022-04-14,
2023-09-14,32949,3130.26,MasterCard,2019-02-25,
2023-12-21,83524,4235.74,Visa,2021-10-23,2023-12-19
2023-11-20,14572,861.66,Amex,2022-08-22,
2023-02-12,80440,1260.48,Amex,2018-01-21,
2023-03-29,64080,3089.77,MasterCard,2017-12-10,
2023-07-08,76626,2747.79,MasterCard,2020-02-04,
2023-09-15,52402,811.94,MasterCard,2016-04-25,
2023-10-08,43459,1913.32,Visa,2020-10-07,
2023-10-11,57531,3309.18,Visa,2021-05-01,
2023-09-28,23275,1622.44,MasterCard,2018-07-28,
2023-09-29,91974,2457.15,Amex,2016-05-25,
2023-07-31,1252,2981.29,Amex,2019-09-13,
2023-11-14,32038,3424.72,Amex,2022-02-28,2023-02-04
2023-11-04,39632,3703.03,Amex,2015-02-19,
2023-08-19,46475,210.71,Visa,2022-06-14,
2023-07-17,91942,1449.1,Visa,2018-01-27,2023-06-14
2023-12-10,18243,4956.82,MasterCard,2019-04-12,
2023-07-19,92001,4823.2,Visa,2015-07-08,
2023-07-27,47449,2990.71,Visa,2016-10-18,
2023-07-24,88189,2192.94,Amex,2022-12-22,
2023-11-30,55092,3311.65,MasterCard,2016-01-19,
2023-07-03,1774,1445.29,Visa,2015-09-28,
2023-09-05,98515,2506.71,Amex,2020-10-09,
2023-01-26,35065,3776.64,Amex,2016-10-29,
2023-03-19,54722,3202.46,MasterCard,2015-07-15,
2023-05-03,80226,4033.41,MasterCard,2022-07-01,
2023-09-20,22704,3671.8,Amex,2020-02-26,
2023-09-11,22927,4805.54,Visa,2018-05-15,
2023-05-13,53489,1968.55,Amex,2021-07-17,
2023-04-17,32123,4430.31,MasterCard,2022-11-28,
2023-07-25,85611,3491.55,Visa,2016-09-21,
2023-03-22,65492,563.84,Amex,2016-11-06,
2023-01-11,56364,2448.36,MasterCard,2022-06-14,
2023-05-02,81346,4112.14,MasterCard,2019-02-15,
2023-05-14,97638,4913.54,Amex,2016-09-05,2023-01-30
2023-01-17,24513,4801.36,Visa,2022-06-11,
2023-01-03,86866,986.76,Visa,2022-07-16,
2023-10-29,4166,4594.36,Visa,2020-06-09,
2023-05-11,21160,871.94,MasterCard,2022-11-17,
2023-07-16,88026,4808.48,Visa,2019-01-11,
2023-05-14,42076,1531.21,Visa,2017-08-29,
2023-12-02,98650,92.14,Amex,2016-02-21,
2023-07-17,18849,1410.93,MasterCard,2022-11-09,2023-02-12
2023-05-19,40596,3614.73,MasterCard,2019-10-13,
2023-07-20,69371,4336.54,Visa,2015-10-04,
2023-02-20,43881,1831.24,MasterCard,2022-04-04,
2023-06-24,31325,4804.21,Amex,2020-05-13,
2023-10-12,76374,4812.62,MasterCard,2016-04-14,
2023-10-22,2654,2947.76,MasterCard,2022-01-15,
2023-10-17,241,4954.42,Amex,2022-05-25,
2023-12-16,66051,3293.48,MasterCard,2015-03-02,
2023-12-15,25005,3028.82,MasterCard,2020-01-22,
2023-12-13,53934,4583.32,Visa,2021-03-23,
2023-07-02,38666,241.11,MasterCard,2020-09-02,
2023-05-01,34948,2817.74,Amex,2021-04-28,2023-05-08
2023-05-18,93450,2059.97,MasterCard,2020-12-11,
2023-02-19,93489,4702.65,Amex,2022-10-24,
2023-07-06,45344,1986.41,Visa,2018-08-25,
2023-12-13,88699,994.67,Amex,2018-10-11,
2023-10-31,95770,1862.81,Amex,2016-03-08,
2023-10-30,97740,1738.11,Amex,2016-02-10,
2023-01-09,20516,4438.63,Amex,2016-12-21,
2023-05-17,82877,177.88,MasterCard,2021-07-25,
2023-09-21,91368,2594.66,MasterCard,2015-02-27,
2023-10-04,22664,2395.19,Visa,2018-11-07,
2023-01-18,26067,2057.66,Visa,2018-11-27,
2023-11-03,3793,1063.29,Visa,2015-02-14,
2023-11-28,25453,935.59,Visa,2016-05-04,
